trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,55.329144,53.099144,54.138144,55.327144,75.325644,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
2,78.412644,77.539644,77.698144,78.324644,99.365144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
3,105.850144,104.234144,105.167644,105.776144,110.857144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
4,113.168144,112.348644,112.579644,113.168144,117.088144,0,NaN,0,7.00000000000003,1,2,66,0.5
5,127.212644,124.268144,125.234644,127.212644,176.619644,1,NaN,0,5.99999999999996,2,1,65,0.5
6,179.162644,177.051644,178.209144,179.162644,190.989644,0,NaN,0,7.00000000000003,1,2,66,0.5
7,203.695144,201.597644,202.977644,203.695144,229.612144,1,NaN,0,5.99999999999996,2,1,65,0.5
8,231.405144,230.530144,230.727144,231.256144,239.434144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
9,242.491644,241.881644,241.921644,242.491644,247.491644,0,NaN,0,7.00000000000003,1,2,66,0.5
10,249.782144,248.358644,249.152144,249.641144,251.025144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
11,254.535144,251.943644,253.579144,254.535144,261.562644,1,NaN,0,5.99999999999996,2,1,65,0.5
12,263.455144,262.605644,262.889144,263.372644,279.204144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
13,323.357144,322.035144,322.764144,323.357144,324.178144,1,NaN,0,5.99999999999996,2,1,65,0.5
14,330.804144,329.143644,329.972144,330.726644,336.700144,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
15,338.080644,337.245645,337.549144,338.080644,346.112144,1,NaN,0,5.99999999999996,2,1,65,0.5
16,347.840144,346.735644,347.206144,347.718644,350.531644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
17,353.710144,352.949144,353.138144,353.710144,360.329144,0,NaN,0,7.00000000000003,1,2,66,0.5
18,361.908644,361.122644,361.415644,361.908644,368.709145,0,NaN,0,7.00000000000003,1,2,66,0.5
19,369.920144,369.141144,369.461644,369.920144,384.188644,0,NaN,0,7.00000000000003,1,2,66,0.5
20,387.699644,386.129144,387.071144,387.594144,422.610644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
21,424.020644,423.063644,423.513644,423.898644,427.521644,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
22,429.270644,428.434144,428.709144,429.175144,432.148144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
23,434.751644,434.109144,434.310144,434.751644,441.203144,0,NaN,0,7.00000000000003,1,2,66,0.5
24,443.096144,442.424144,442.620644,443.096144,457.989644,0,NaN,0,7.00000000000003,1,2,66,0.5
25,460.807644,459.809644,460.215144,460.690644,477.244144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
26,482.032144,481.085144,481.361644,481.915144,494.329644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
27,495.569144,495.065644,495.154644,495.569144,503.027144,0,NaN,0,7.00000000000003,1,2,66,0.5
28,504.411644,503.602144,503.891644,504.346644,505.622644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
29,507.855144,506.200644,507.219144,507.782644,515.796644,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
30,519.801644,518.891144,519.127644,519.738144,523.090644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
31,524.892144,524.002644,524.197144,524.807144,526.280144,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
32,527.721144,527.047644,527.227644,527.721144,533.149144,0,NaN,0,7.00000000000003,1,2,66,0.5
33,534.375644,533.705144,533.920144,534.375644,542.765144,0,NaN,0,7.00000000000003,1,2,66,0.5
34,544.240144,543.171644,543.666144,544.114144,548.544644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
35,549.903644,549.045144,549.464644,549.903644,556.113644,0,NaN,0,7.00000000000003,1,2,66,0.5
36,557.440144,556.694644,557.020644,557.440144,562.225144,1,NaN,0,5.99999999999996,2,1,65,0.5
37,563.780644,563.093144,563.321144,563.780644,569.690644,0,NaN,0,7.00000000000003,1,2,66,0.5
38,571.655144,570.220144,571.130644,571.655144,580.603144,0,NaN,0,7.00000000000003,1,2,66,0.5
39,583.897644,582.807144,583.233644,583.841644,591.909644,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
