trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,31.599233,29.827732,29.986732,31.545732,31.728232,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
2,34.694232,33.996732,34.160232,34.641232,36.221737,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
3,47.424232,46.744232,47.004732,47.371232,64.835232,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
4,66.796232,65.199732,65.403732,66.796232,78.168732,0,NaN,0,7.00000000000003,1,2,66,0.5
5,79.607732,78.556232,78.749232,79.607732,84.394736,0,NaN,0,7.00000000000003,1,2,66,0.5
6,86.946232,86.127732,86.416732,86.893233,88.174732,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
7,92.023732,91.275234,91.480734,91.971732,95.946732,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
8,97.116732,96.309232,96.519732,97.063736,98.828732,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
9,100.462232,99.743732,99.943732,100.462232,105.041232,1,NaN,0,5.99999999999996,2,1,65,0.5
10,108.981732,106.973232,107.474736,108.928732,110.990734,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
11,112.248232,111.444732,111.643232,112.195232,115.372732,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
12,116.575732,115.677232,115.858233,116.523232,118.330732,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
13,122.625236,121.767732,121.958232,122.573227,123.778232,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
14,134.431732,133.665736,133.904236,134.431732,144.185732,1,NaN,0,5.99999999999996,2,1,65,0.5
15,175.446232,174.234732,174.504732,175.446232,188.440232,1,NaN,0,5.99999999999996,2,1,65,0.5
16,189.642732,188.956232,189.142232,189.642732,190.564232,1,NaN,0,5.99999999999996,2,1,65,0.5
17,222.631232,221.887232,221.975732,222.578232,230.782732,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
18,232.049732,231.237236,231.465232,232.049732,235.141232,1,NaN,0,5.99999999999996,2,1,65,0.5
19,239.384732,238.556233,238.854232,239.384732,240.019732,1,NaN,0,5.99999999999996,2,1,65,0.5
20,280.146732,279.270732,279.486735,280.093732,282.578732,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
21,285.283232,284.478732,284.715732,285.283232,285.699732,1,NaN,0,5.99999999999996,2,1,65,0.5
22,292.302732,291.299236,291.580232,292.302732,297.102732,1,NaN,0,5.99999999999996,2,1,65,0.5
23,309.910232,308.991232,309.240732,309.910232,313.656732,1,NaN,0,5.99999999999996,2,1,65,0.5
24,348.527233,335.906232,336.102733,NaN,354.242232,NaN,NaN,0,5.99999999999996,2,1,65,0.5
25,359.946732,359.277232,359.469732,359.946732,361.324234,0,NaN,0,7.00000000000003,1,2,66,0.5
26,370.271234,369.527232,369.713232,370.218232,371.822732,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
27,373.135233,372.336232,372.562732,373.082732,374.934732,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
28,376.163232,375.441232,375.615732,376.163232,376.449236,0,NaN,0,7.00000000000003,1,2,66,0.5
29,389.837232,388.944733,389.203732,389.783732,391.810232,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
30,392.945232,392.277232,392.453232,392.945232,393.125732,0,NaN,0,7.00000000000003,1,2,66,0.5
31,402.160732,401.454732,401.541732,402.160732,404.560232,0,NaN,0,7.00000000000003,1,2,66,0.5
32,410.534232,409.870233,410.026732,410.481232,412.792232,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
33,414.056232,413.255732,413.461732,414.056232,414.440232,0,NaN,0,7.00000000000003,1,2,66,0.5
34,437.349232,436.524232,436.781232,437.349232,440.497735,1,NaN,0,5.99999999999996,2,1,65,0.5
35,465.661732,464.664232,464.754732,465.661732,472.537232,0,NaN,0,7.00000000000003,1,2,66,0.5
36,473.941232,473.024232,473.335232,473.888232,476.237733,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
37,477.607732,476.780232,477.055232,477.554732,479.078732,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
38,480.239232,479.521232,479.764732,480.186232,481.835232,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
39,482.884232,482.216232,482.446232,482.884232,483.194732,0,NaN,0,7.00000000000003,1,2,66,0.5
40,498.718232,497.726232,497.941232,498.715733,501.041232,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
41,502.198232,501.542732,501.681732,502.198232,506.490232,0,NaN,0,7.00000000000003,1,2,66,0.5
42,509.962236,509.076732,509.448732,509.909232,511.774232,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
43,513.392732,512.582232,512.752732,513.339732,515.698232,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
44,516.910232,516.231732,516.375732,516.910232,522.798732,0,NaN,0,7.00000000000003,1,2,66,0.5
