trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,schedule,odor_name,odor_dur,animal,session
1,876.367614,875.423615,875.754281,876.367614,888.993601,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
2,890.072933,889.568267,889.606934,890.072933,903.814253,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
3,906.312251,905.126252,905.544918,906.258917,918.468238,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
4,920.152237,919.204904,919.561571,920.098903,947.065543,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
5,950.554206,949.658207,949.89554,950.554206,955.674201,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
6,958.706198,957.463533,957.866866,958.652865,973.602183,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
7,975.062182,974.271516,974.428849,975.062182,995.719494,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
8,998.292159,996.45816,997.336826,998.238825,1001.647489,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
9,1004.02882,1002.962154,1003.186821,1003.975486,1043.697447,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
10,1045.128778,1044.466779,1044.484779,1045.128778,1052.412104,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
11,1057.478099,1056.190101,1056.534767,1057.424766,1064.093426,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
12,1067.898089,1066.460757,1066.62409,1067.898089,1078.630745,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
13,1080.714076,1079.512077,1079.960077,1080.714076,1084.808739,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
14,1088.989401,1087.844069,1088.360735,1088.989401,1089.642067,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
15,1095.830061,1094.508062,1095.099395,1095.827394,1102.261388,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
16,1105.472051,1104.044053,1104.670719,1105.472051,1110.724046,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
17,1115.474042,1113.807376,1114.366042,1115.466041,1128.643362,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
18,1133.004024,1132.074025,1132.142025,1133.004024,1134.866022,0.0,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
19,1163.665327,1151.042672,1151.376006,1134.714689,1257.865232,,,0.0,7.000000000000028,2,66.0,0.5,ASD273,p32
20,1262.068561,1260.332563,1260.60923,1262.015228,1268.982555,1.0,2.999999999999936,0.029999999999999714,7.000000000000028,2,66.0,0.5,ASD273,p32
21,1272.431218,1271.499219,1271.649885,1272.428551,1403.14242,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
22,1408.902415,1406.998417,1407.168416,1408.902415,1420.459736,1.0,,0.0,5.999999999999961,1,65.0,0.5,ASD273,p32
23,1437.224386,1435.143055,1436.304387,1437.171053,1455.968368,0.0,2.999999999999936,0.029999999999999714,5.999999999999961,1,65.0,0.5,ASD273,p32
