trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,2218.258258,2207.734259,2208.214258,2218.258258,2224.575258,1,NaN,0,5.99999999999996,0,1,65,0.5
2,2226.400758,2225.718758,2225.930258,2226.348258,2228.603761,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
3,2230.903759,2230.281263,2230.423258,2230.881762,2237.238259,0,NaN,0.00999999999999943,5.99999999999996,0,1,65,0.5
4,2238.202759,2237.635759,2237.799759,2238.202759,2243.298758,0,NaN,0,7.00000000000003,0,2,66,0.5
5,2245.691759,2243.758262,2243.869253,2245.639258,2251.413758,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
6,2252.633759,2252.107758,2252.272258,2252.633759,2262.903259,1,NaN,0,5.99999999999996,2,1,65,0.5
7,2263.976258,2263.436259,2263.480758,2263.874759,2271.152758,1,NaN,0.00999999999999943,7.00000000000003,0,2,66,0.5
8,2272.446758,2271.704258,2271.939259,2272.393758,2276.678758,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
9,2278.425758,2277.933259,2277.977758,2278.425758,2284.484258,0,NaN,0,7.00000000000003,0,2,66,0.5
10,2286.440259,2285.543758,2286.042759,2286.440259,2289.83776,0,NaN,0,7.00000000000003,1,2,66,0.5
11,2294.313253,2293.777258,2293.828758,2294.260257,2322.429759,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
12,2323.613759,2322.943758,2323.222759,2323.613759,2325.225758,0,NaN,0,7.00000000000003,1,2,66,0.5
13,2330.677758,2329.852258,2330.182758,2330.625258,2332.666758,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
14,2333.843758,2333.120753,2333.268258,2333.843758,2340.760758,0,NaN,0,7.00000000000003,1,2,66,0.5
15,2342.399758,2341.74276,2342.010258,2342.399758,2495.138261,0,NaN,0,7.00000000000003,0,2,66,0.5
16,2497.035763,2495.870758,2496.008759,2497.035763,2521.791258,0,NaN,0,7.00000000000003,1,2,66,0.5
17,2523.067259,2522.361758,2522.491259,2523.014258,2526.633759,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
18,2530.329259,2527.612758,2527.837758,2530.276753,2536.971259,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
19,2538.815258,2537.780758,2538.028258,2538.762758,2545.111259,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
20,2546.92626,2545.858758,2546.148262,2546.923758,2553.397759,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
21,2555.838259,2555.265258,2555.349759,2555.838259,2561.550759,0,NaN,0,7.00000000000003,0,2,66,0.5
22,2563.141758,2562.241758,2562.541258,2563.11326,2567.198758,1,NaN,0.00999999999999943,7.00000000000003,0,2,66,0.5
23,2570.024259,2569.346263,2569.563758,2570.024259,2577.624759,1,NaN,0,5.99999999999996,2,1,65,0.5
24,2584.033259,2582.226256,2582.375758,2584.030759,2630.112759,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
25,2631.366759,2630.593258,2630.702758,2631.313758,2638.692259,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
26,2640.505258,2639.451258,2639.690758,2640.505258,2641.009258,0,NaN,0,7.00000000000003,0,2,66,0.5
27,2656.87326,2655.77226,2656.147762,2656.87326,2871.222259,1,NaN,0,5.99999999999996,2,1,65,0.5
28,2873.831258,2872.584759,2873.033763,2873.831258,2881.205258,0,NaN,0,7.00000000000003,0,2,66,0.5
29,2883.10026,2882.052758,2882.393758,2882.999258,2918.446259,1,NaN,0.00999999999999943,7.00000000000003,0,2,66,0.5
30,2930.250258,2928.296758,2928.323758,2930.198258,2936.303759,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
31,2937.97326,2937.096258,2937.164257,2937.970758,2945.042258,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
32,2947.485258,2946.072759,2946.305762,2947.485258,2954.410758,0,NaN,0,7.00000000000003,1,2,66,0.5
33,2957.065763,2955.002258,2956.257758,2957.065763,2964.558758,1,NaN,0,5.99999999999996,2,1,65,0.5
34,2966.103259,2965.058758,2965.255758,2966.101258,2971.251258,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
35,2972.702758,2971.703758,2971.923258,2972.702758,2977.933759,0,NaN,0,7.00000000000003,1,2,66,0.5
36,2979.265259,2978.443258,2978.728258,2979.212758,2984.710759,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
37,2991.665258,2990.304258,2990.765259,2991.611759,2994.487762,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
38,2996.368259,2995.263259,2995.559258,2996.368259,3003.004258,0,NaN,0,7.00000000000003,1,2,66,0.5
39,3005.451258,3003.643259,3004.567759,3005.451258,3014.497758,0,NaN,0,7.00000000000003,1,2,66,0.5
40,3017.068758,3015.090758,3015.45626,3017.015759,3022.105259,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
41,3023.795759,3023.104258,3023.338258,3023.795759,3130.479258,0,NaN,0,7.00000000000003,1,2,66,0.5
42,3134.023258,3131.574258,3132.825258,3133.970258,3142.236756,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
43,3144.325258,3143.406259,3143.581758,3144.325258,3158.533758,0,NaN,0,7.00000000000003,1,2,66,0.5
44,3160.100758,3159.329758,3159.462258,3160.100758,3167.259258,0,NaN,0,7.00000000000003,1,2,66,0.5
45,3177.692258,3176.787259,3176.949759,3177.689759,3182.528259,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
46,3184.613758,3183.172758,3183.547259,3184.613758,3188.598754,0,NaN,0,7.00000000000003,1,2,66,0.5
47,3195.551758,3193.952758,3194.415258,3195.498759,3199.640268,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
48,3201.708758,3200.548758,3200.738258,3201.656258,3204.428258,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
49,3209.010259,3207.864758,3208.077258,3208.956759,3212.720263,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
50,3214.156258,3213.218758,3213.495759,3214.156258,3219.561258,0,NaN,0,7.00000000000003,1,2,66,0.5
51,3222.251758,3221.323258,3221.463259,3222.251758,3226.457758,0,NaN,0,7.00000000000003,1,2,66,0.5
52,3229.201259,3227.890763,3228.382758,3229.201259,3235.608759,0,NaN,0,7.00000000000003,1,2,66,0.5
53,3240.658259,3238.910258,3239.830263,3240.658259,3247.764758,0,NaN,0,7.00000000000003,1,2,66,0.5
54,3250.304259,3248.436759,3249.829258,3250.304259,3263.240758,1,NaN,0,5.99999999999996,2,1,65,0.5
55,3265.101758,3263.794258,3264.234263,3265.101758,3272.245258,0,NaN,0,7.00000000000003,1,2,66,0.5
56,3302.049259,3296.499758,3296.730758,3301.996758,3303.674258,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
57,3305.501258,3304.357759,3304.607759,3305.448758,3314.835258,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
58,3316.340759,3315.478758,3315.697758,3316.340759,3322.375758,0,NaN,0,7.00000000000003,1,2,66,0.5
59,3325.184758,3323.454258,3324.310759,3325.132258,3331.293259,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
60,3332.610258,3331.852259,3332.028258,3332.610258,3339.505759,0,NaN,0,7.00000000000003,1,2,66,0.5
61,3343.376258,3342.313259,3342.409759,3343.376258,3363.45876,0,NaN,0,7.00000000000003,0,2,66,0.5
62,3364.734758,3364.048258,3364.167259,3364.734758,3369.388758,0,NaN,0,7.00000000000003,1,2,66,0.5
63,3372.474258,3371.507758,3371.816758,3372.474258,3377.487758,0,NaN,0,7.00000000000003,1,2,66,0.5
64,3379.31376,3378.116259,3378.703759,3379.31376,3383.448758,0,NaN,0,7.00000000000003,1,2,66,0.5
65,3386.871258,3385.69276,3386.219259,3386.871258,3455.788759,0,NaN,0,7.00000000000003,1,2,66,0.5
66,3675.075758,3673.210263,3673.808754,3675.075758,3683.779763,0,NaN,0,7.00000000000003,1,2,66,0.5
67,3686.24076,3685.209259,3685.254758,3686.188258,3691.371759,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
68,3693.768758,3692.70776,3692.848761,3693.768758,3978.314758,0,NaN,0,7.00000000000003,1,2,66,0.5
69,3982.800759,3979.077259,3979.200761,3982.798759,4266.993759,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
70,4271.542259,4269.916758,4270.603759,4271.542259,4309.679259,0,NaN,0,7.00000000000003,1,2,66,0.5
71,4311.687758,4310.636759,4311.138259,4311.687758,4317.648758,0,NaN,0,7.00000000000003,1,2,66,0.5
72,4319.567759,4318.505759,4318.638258,4319.565758,4321.405263,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
73,4323.550758,4322.572763,4322.964759,4323.497759,4328.626258,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
74,4331.841259,4329.989258,4330.126258,4331.839258,4346.053758,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
75,4348.596759,4347.187758,4347.680758,4348.543759,4353.982758,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
76,4355.998258,4354.598758,4354.979258,4355.996758,4364.083258,0,NaN,0.00999999999999943,5.99999999999996,0,1,65,0.5
