trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,773.906356,772.913691,773.306357,773.853023,782.936347,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
2,784.020346,783.44768,783.503013,783.967013,792.671671,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
3,806.51099,805.566991,806.036991,806.457657,808.872988,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
4,812.844317,812.340318,812.436985,812.790984,815.190982,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
5,824.501639,823.82364,824.060306,824.448306,831.790299,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
6,835.538961,834.730296,834.994962,835.485628,836.91496,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
7,839.832957,839.143624,839.349624,839.779624,854.859609,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
8,855.747608,855.194275,855.370275,855.694275,871.502259,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
9,874.602256,873.660923,874.12759,874.548922,886.288244,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
10,887.231576,886.606244,886.846243,887.231576,906.424891,1,NaN,0,5.99999999999996,2,1,65,0.5
11,907.675556,906.896223,907.186223,907.622223,909.486221,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
12,911.078886,910.36622,910.65622,911.025553,929.042868,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
13,930.0702,929.459534,929.576867,930.016867,936.514194,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
14,937.776193,937.04486,937.283526,937.722859,940.920189,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
15,942.402188,941.633522,941.976188,942.348855,946.947517,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
16,948.508848,947.743516,947.910182,948.455515,950.966846,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
17,952.084845,951.534179,951.716845,952.084845,960.40617,1,NaN,0,5.99999999999996,2,1,65,0.5
18,961.572835,961.016836,961.192836,961.572835,963.220167,1,NaN,0,5.99999999999996,2,1,65,0.5
19,972.972157,972.366825,972.554824,972.972157,980.981483,1,NaN,0,5.99999999999996,2,1,65,0.5
20,984.509479,983.690147,984.086813,984.509479,998.406132,0,NaN,0,7.00000000000003,1,2,66,0.5
21,1017.502779,1016.592114,1017.032113,1017.502779,1032.876097,0,NaN,0,7.00000000000003,1,2,66,0.5
22,1035.568095,1034.696762,1035.040095,1035.514761,1037.016093,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
23,1039.134758,1038.498092,1038.786092,1039.134758,1079.968717,1,NaN,0,5.99999999999996,2,1,65,0.5
24,1081.588049,1080.852049,1081.099383,1081.534715,1082.384048,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
25,1083.78538,1083.045381,1083.352047,1083.732047,1085.569378,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
26,1087.293376,1086.491377,1086.84671,1087.293376,1094.901369,0,NaN,0,7.00000000000003,1,2,66,0.5
27,1096.727367,1095.998034,1096.266701,1096.727367,1103.012027,0,NaN,0,7.00000000000003,1,2,66,0.5
28,1104.783359,1104.094026,1104.344693,1104.783359,1130.252,0,NaN,0,7.00000000000003,1,2,66,0.5
29,1131.510665,1130.722666,1131.111333,1131.510665,1140.18399,1,NaN,0,5.99999999999996,2,1,65,0.5
30,1141.503989,1140.78199,1141.126656,1141.503989,1207.788589,1,NaN,0,5.99999999999996,2,1,65,0.5
31,1213.100584,1208.532588,1209.649254,1213.047917,1214.574582,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
32,1216.311247,1215.493915,1215.596581,1216.257914,1219.223244,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
33,1225.589905,1224.889905,1225.213905,1225.589905,1287.850509,1,NaN,0,5.99999999999996,2,1,65,0.5
34,1289.800507,1288.297175,1288.937175,1289.747174,1292.695171,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
35,1297.807166,1296.587167,1297.351166,1297.807166,1316.883147,0,NaN,0,7.00000000000003,1,2,66,0.5
36,1319.041811,1318.255812,1318.545145,1318.988478,1326.57047,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
37,1328.137802,1327.043803,1327.561136,1328.084469,1337.687793,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
38,1340.41179,1339.547124,1339.82779,1340.358457,1342.186455,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
39,1343.86512,1343.240454,1343.454454,1343.811786,1349.905114,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
40,1351.333779,1350.625113,1350.832446,1351.280446,1353.466444,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
41,1355.081775,1354.372443,1354.707776,1355.081775,1359.437771,1,NaN,0,5.99999999999996,2,1,65,0.5
42,1364.559766,1363.054434,1363.543767,1364.506432,1368.487095,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
43,1370.290427,1369.585094,1369.779761,1370.237093,1375.894421,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
44,1377.463086,1376.693087,1376.91642,1377.409753,1381.733749,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
45,1383.271747,1382.743748,1382.885081,1383.271747,1393.14907,1,NaN,0,5.99999999999996,2,1,65,0.5
46,1394.490402,1393.71907,1394.04907,1394.437069,1399.221731,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
47,1400.789063,1400.074397,1400.19973,1400.736396,1405.500391,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
48,1406.821057,1406.245057,1406.414391,1406.821057,1413.86305,1,NaN,0,5.99999999999996,2,1,65,0.5
49,1415.819714,1414.991049,1415.201048,1415.766381,1422.217041,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
50,1423.277707,1422.653041,1422.797707,1423.23104,1433.246364,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
51,1435.251695,1434.627029,1434.730362,1435.233028,1443.12902,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
52,1444.144353,1443.59502,1443.70102,1444.144353,1449.199014,1,NaN,0,5.99999999999996,2,1,65,0.5
53,1453.52501,1452.731678,1452.939011,1453.471677,1461.105003,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
54,1462.127002,1461.502335,1461.621002,1462.077002,1469.580994,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
55,1471.434326,1470.596326,1470.722326,1471.380992,1474.542989,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
56,1475.752321,1475.162988,1475.354322,1475.752321,1483.34498,1,NaN,0,5.99999999999996,2,1,65,0.5
57,1484.594312,1484.01098,1484.197646,1484.594312,1523.441607,1,NaN,0,5.99999999999996,2,1,65,0.5
58,1524.843605,1524.040273,1524.352939,1524.843605,1534.303596,1,NaN,0,5.99999999999996,2,1,65,0.5
59,1535.691595,1534.947595,1535.146262,1535.638261,1537.826926,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
60,1538.900925,1538.326259,1538.504925,1538.900925,1543.15892,1,NaN,0,5.99999999999996,2,1,65,0.5
61,1545.660251,1544.838252,1545.292252,1545.660251,1552.430245,1,NaN,0,5.99999999999996,2,1,65,0.5
62,1558.128239,1557.144907,1557.596906,1558.128239,1565.678231,0,NaN,0,7.00000000000003,1,2,66,0.5
63,1566.981563,1566.144231,1566.580897,1566.981563,1574.923555,1,NaN,0,5.99999999999996,2,1,65,0.5
64,1576.382221,1575.398222,1575.919554,1576.328887,1577.40422,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
65,1579.097551,1578.337552,1578.584885,1579.044218,1580.660883,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
66,1581.828215,1581.048216,1581.426882,1581.828215,1587.934209,1,NaN,0,5.99999999999996,2,1,65,0.5
67,1639.366158,1638.436159,1638.850825,1639.312824,1650.803479,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
68,1654.215476,1653.507477,1653.764143,1654.162143,1657.598806,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
69,1659.045471,1658.386139,1658.622138,1659.045471,1665.962798,1,NaN,0,5.99999999999996,2,1,65,0.5
70,1667.916129,1666.859463,1667.091463,1667.916129,1675.809454,1,NaN,0,5.99999999999996,2,1,65,0.5
71,1677.912119,1676.55012,1676.799454,1677.858786,1678.796118,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
72,1680.11545,1679.354784,1679.750784,1680.11545,1684.06878,1,NaN,0,5.99999999999996,2,1,65,0.5
73,1686.770777,1686.064778,1686.432777,1686.770777,1691.962105,1,NaN,0,5.99999999999996,2,1,65,0.5
74,1693.59677,1692.738771,1693.20877,1693.59677,1760.294703,1,NaN,0,5.99999999999996,2,1,65,0.5
75,1773.34869,1760.726036,1760.774703,NaN,1791.050006,NaN,NaN,0,5.99999999999996,2,1,65,0.5
76,1792.305338,1791.564672,1791.760005,1792.305338,1800.006664,1,NaN,0,5.99999999999996,2,1,65,0.5
77,1801.477329,1800.481996,1801.005996,1801.423996,1804.373326,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
78,1806.051991,1804.877992,1805.075992,1805.998658,1806.77199,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
79,1808.122656,1807.45399,1807.777323,1808.122656,1808.693322,1,NaN,0,5.99999999999996,2,1,65,0.5
80,1828.696635,1827.931969,1828.225969,1828.643302,1840.919289,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
81,1842.347955,1841.746622,1842.008622,1842.347955,1849.213948,1,NaN,0,5.99999999999996,2,1,65,0.5
82,1852.269945,1851.687945,1851.909945,1852.269945,1860.954603,1,NaN,0,5.99999999999996,2,1,65,0.5
83,1864.456599,1863.621933,1863.917266,1864.403266,1872.632591,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
84,1874.189923,1873.343257,1873.721257,1874.13659,1878.770585,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
85,1880.848583,1880.25125,1880.41325,1880.848583,1886.087911,0,NaN,0,7.00000000000003,1,2,66,0.5
