trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,1314.764601,1313.605601,1314.007601,1314.764601,1319.929101,0,NaN,0,7.00000000000003,1,2,66,0.5
2,1327.554601,1321.100101,1326.760601,1327.502101,1333.120101,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
3,1335.008101,1334.064601,1334.145601,1335.008101,1338.764601,0,NaN,0,7.00000000000003,1,2,66,0.5
4,1341.406601,1340.891101,1340.971101,1341.406601,1386.258101,0,NaN,0,7.00000000000003,1,2,66,0.5
5,1387.589101,1386.965601,1387.095101,1387.543101,1389.919601,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
6,1393.918101,1393.177101,1393.339601,1393.865601,1397.901101,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
7,1400.671101,1400.152101,1400.187601,1400.618101,1413.567101,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
8,1414.808101,1414.137601,1414.213101,1414.808101,1431.966601,0,NaN,0,7.00000000000003,1,2,66,0.5
9,1440.716101,1440.071601,1440.189601,1440.716101,1445.921601,0,NaN,0,7.00000000000003,1,2,66,0.5
10,1457.044101,1456.308603,1456.468601,1456.991601,1458.361601,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
11,1460.213601,1459.733101,1459.779601,1460.160601,1539.632101,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
12,1541.073101,1540.449601,1540.639601,1541.063101,1558.383601,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
13,1561.483601,1560.708101,1560.951601,1561.483601,1688.214101,1,NaN,0,5.99999999999996,2,1,65,0.5
14,1689.259601,1688.715101,1688.843101,1689.259601,1694.325101,1,NaN,0,5.99999999999996,2,1,65,0.5
15,1696.748101,1696.006601,1696.274101,1696.748101,1702.546601,1,NaN,0,5.99999999999996,2,1,65,0.5
16,1704.194101,1703.674101,1703.727101,1704.194101,1777.557101,1,NaN,0,5.99999999999996,2,1,65,0.5
17,1779.712601,1778.289101,1778.443601,1779.660101,1794.824601,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
18,1796.380601,1795.725102,1795.909601,1796.380601,1801.938101,1,NaN,0,5.99999999999996,2,1,65,0.5
19,1803.759601,1803.065101,1803.339101,1803.759601,1810.336601,1,NaN,0,5.99999999999996,2,1,65,0.5
20,1811.816601,1811.186101,1811.406101,1811.816601,1821.270101,1,NaN,0,5.99999999999996,2,1,65,0.5
21,2012.749601,2011.701101,2011.737101,2012.749601,2059.714101,1,NaN,0,5.99999999999996,2,1,65,0.5
22,2064.785601,2064.078101,2064.192601,2064.785601,2068.636601,1,NaN,0,5.99999999999996,2,1,65,0.5
23,2074.546601,2073.718101,2073.862101,2074.546601,2079.839101,1,NaN,0,5.99999999999996,2,1,65,0.5
24,2081.720601,2081.060101,2081.288101,2081.720601,2089.305601,1,NaN,0,5.99999999999996,2,1,65,0.5
25,2090.334601,2089.705601,2089.897101,2090.334601,2095.427101,1,NaN,0,5.99999999999996,2,1,65,0.5
26,2103.731601,2102.926601,2103.109601,2103.678601,2107.791601,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
27,2109.584101,2108.828601,2109.087601,2109.584101,2109.924601,1,NaN,0,5.99999999999996,2,1,65,0.5
28,2138.942101,2138.150601,2138.243101,2138.889101,2287.042601,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
29,2288.201101,2287.578101,2287.640101,2288.190601,2289.085101,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
30,2290.466101,2289.829601,2289.945601,2290.466101,2329.692601,1,NaN,0,5.99999999999996,2,1,65,0.5
31,2330.964101,2330.330601,2330.496101,2330.964101,2335.547101,1,NaN,0,5.99999999999996,2,1,65,0.5
32,2353.346101,2352.564101,2352.747101,2353.346101,2798.738601,1,NaN,0,5.99999999999996,2,1,65,0.5
33,2801.819101,2800.743601,2800.880601,2801.766601,2812.956601,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
34,2815.662601,2814.931101,2814.959101,2815.610101,2822.174601,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
35,2824.562601,2823.711101,2823.966101,2824.562601,2831.465101,1,NaN,0,5.99999999999996,2,1,65,0.5
36,2833.570101,2832.555101,2832.966101,2833.517101,2839.608101,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
37,2843.939601,2843.316601,NaN,2843.892601,2915.856101,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
38,2917.592601,2916.868103,2916.998101,2917.592601,2917.948601,1,NaN,0,5.99999999999996,2,1,65,0.5
