trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,414.393986,413.623987,413.68732,414.340653,454.747279,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
2,457.419276,455.679278,456.515277,457.419276,464.900602,0,NaN,0,7.00000000000003,1,4,66,0.5
3,466.257267,465.697935,465.755268,466.257267,495.014572,0,NaN,0,7.00000000000003,1,4,66,0.5
4,498.374568,495.547905,495.935238,498.374568,515.246552,0,NaN,0,7.00000000000003,1,4,66,0.5
5,520.396546,519.657214,519.677214,520.34388,525.726541,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
6,527.459206,526.49254,526.74254,527.459206,533.145867,0,NaN,0,7.00000000000003,1,4,66,0.5
7,536.70453,534.749865,535.009865,536.651197,538.999195,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
8,555.369845,542.747191,542.783857,NaN,596.059137,NaN,NaN,0,7.00000000000003,1,4,66,0.5
9,605.010462,596.667803,596.935137,605.010462,692.500374,0,NaN,0,7.00000000000003,1,4,66,0.5
10,754.361646,749.886317,750.43565,754.361646,818.516915,0,NaN,0,7.00000000000003,1,4,66,0.5
11,825.897574,820.264247,820.584913,825.897574,869.816864,0,NaN,0,7.00000000000003,1,4,66,0.5
12,877.67619,870.28753,870.558196,877.622856,882.460184,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
13,886.263514,883.402183,883.68485,886.210181,890.434843,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
14,893.253507,892.428841,892.554841,893.200174,898.581502,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
15,902.919497,900.760166,902.205498,902.866164,922.287478,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
16,924.055476,922.676146,923.368143,924.055476,930.50747,1,NaN,0,5.99999999999996,2,3,65,0.5
17,931.816135,931.101469,931.328802,931.816135,937.082796,1,NaN,0,5.99999999999996,2,3,65,0.5
18,938.882128,938.108795,938.411462,938.882128,941.418125,1,NaN,0,5.99999999999996,2,3,65,0.5
19,946.436787,945.681455,945.967454,946.383454,949.506117,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
20,951.457449,950.734116,950.979449,951.404115,954.363446,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
21,955.750111,955.220112,955.330112,955.750111,960.354107,0,NaN,0,7.00000000000003,1,4,66,0.5
22,964.094103,963.30677,963.610103,964.040769,986.647414,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
23,1005.284062,992.661408,993.108742,NaN,1119.295281,NaN,NaN,0,5.99999999999996,2,3,65,0.5
24,1162.443904,1149.82125,1150.197917,NaN,1177.34989,NaN,NaN,0,5.99999999999996,2,3,65,0.5
25,1179.389887,1178.128555,1178.441888,1179.336554,1182.306551,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
26,1188.718545,1187.872546,1188.041212,1188.665212,1230.917836,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
27,1238.285829,1237.442496,1237.531829,1238.232495,1247.390486,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
28,1248.885818,1247.909152,1248.217152,1248.832485,1253.99848,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
29,1256.332477,1255.668478,1255.927144,1256.332477,1265.490468,1,NaN,0,5.99999999999996,2,3,65,0.5
30,1266.896467,1266.207134,1266.302467,1266.896467,1272.399128,1,NaN,0,5.99999999999996,2,3,65,0.5
31,1273.85846,1272.837127,1273.371794,1273.85846,1284.811115,1,NaN,0,5.99999999999996,2,3,65,0.5
32,1286.160447,1285.392448,1285.639781,1286.157781,1289.569777,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
33,1290.874443,1290.258443,1290.413776,1290.821109,1297.203103,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
34,1302.175765,1299.836434,1300.0431,1302.122431,1319.702414,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
35,1321.439745,1320.436413,1320.727079,1321.386412,1323.531077,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
36,1324.851075,1324.110409,1324.342409,1324.797742,1326.88374,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
37,1328.215072,1327.609739,1327.707739,1328.113072,1331.677069,0,NaN,0.00999999999999943,5.99999999999996,0,3,65,0.5
38,1336.330397,1334.477066,1334.751065,1336.277064,1342.101058,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
39,1343.337057,1342.793057,1342.839057,1343.337057,1349.301718,1,NaN,0,5.99999999999996,2,3,65,0.5
40,1350.790383,1349.967717,1350.31505,1350.790383,1353.95038,1,NaN,0,5.99999999999996,2,3,65,0.5
41,1505.046895,1501.088232,1501.403565,1505.046895,1534.0162,1,NaN,0,5.99999999999996,2,3,65,0.5
42,1537.880862,1536.780863,1537.120863,1537.880862,1585.077482,1,NaN,0,5.99999999999996,2,3,65,0.5
43,1586.666814,1585.718148,1586.020148,1586.61348,1590.09681,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
44,1593.11614,1590.925476,1591.108809,1593.063474,1599.141468,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
45,1601.300799,1600.2128,1600.5708,1601.300799,1615.284118,1,NaN,0,5.99999999999996,2,3,65,0.5
46,1621.361446,1620.18478,1620.711446,1621.308112,1624.718775,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,4,66,0.5
47,1626.199441,1625.264108,1625.639441,1626.199441,1632.384768,1,NaN,0,5.99999999999996,2,3,65,0.5
48,1633.424767,1632.800101,1632.972767,1633.4141,1635.659431,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,3,65,0.5
49,1637.056763,1636.376764,1636.478764,1637.056763,1642.031425,0,NaN,0,7.00000000000003,1,4,66,0.5
50,1643.81809,1642.550091,1642.923424,1643.81809,1648.853418,0,NaN,0,7.00000000000003,1,4,66,0.5
51,1650.01475,1649.240084,1649.514751,1650.01475,1655.444079,1,NaN,0,5.99999999999996,2,3,65,0.5
52,1656.826077,1656.158077,1656.424744,1656.826077,1663.26807,1,NaN,0,5.99999999999996,2,3,65,0.5
53,1668.378732,1666.5554,1666.636734,1668.378732,1689.352044,1,NaN,0,5.99999999999996,2,3,65,0.5
