file_name,A_ID,date,session,genotype,strain,schedule_label,sex
015_20190713_behaviorDF.csv,ASD015,20190713,1,Het,SHANK3B,Deterministic,female
015_20190714_behaviorDF.csv,ASD015,20190714,2,Het,SHANK3B,Deterministic,female
016_20190713_behaviorDF.csv,ASD016,20190713,1,Het,SHANK3B,Deterministic,female
016_20190714_behaviorDF.csv,ASD016,20190714,2,Het,SHANK3B,Deterministic,female
106_20201223_behaviorDF.csv,ASD106,20201223,1,WT,SHANK3B,Deterministic,female
106_20201226_behaviorDF.csv,ASD106,20201226,2,WT,SHANK3B,Deterministic,female
107_20201223_behaviorDF.csv,ASD107,20201223,1,Het,SHANK3B,Deterministic,female
107_20201226_behaviorDF.csv,ASD107,20201226,2,Het,SHANK3B,Deterministic,female
156_20210802_behaviorDF.csv,ASD156,20210802,1,Het,SHANK3B,Deterministic,female
156_20210803_behaviorDF.csv,ASD156,20210803,2,Het,SHANK3B,Deterministic,female
158_20210802_behaviorDF.csv,ASD158,20210802,1,WT,SHANK3B,Deterministic,female
158_20210804_behaviorDF.csv,ASD158,20210804,2,WT,SHANK3B,Deterministic,female
159_20210804_behaviorDF.csv,ASD159,20210804,1,Het,SHANK3B,Deterministic,female
159_20210805_behaviorDF.csv,ASD159,20210805,2,Het,SHANK3B,Deterministic,female
207_20220113_behaviorDF.csv,ASD207,20220113,1,WT,SHANK3B,Deterministic,female
207_20220114_behaviorDF.csv,ASD207,20200114,2,WT,SHANK3B,Deterministic,female
220_20220403_behaviorDF.csv,ASD220,20220403,1,WT,SHANK3B,Deterministic,female
220_20220404_behaviorDF.csv,ASD220,20220404,2,WT,SHANK3B,Deterministic,female
221_20220403_behaviorDF.csv,ASD221,20220403,1,Het,SHANK3B,Deterministic,female
221_20220404_behaviorDF.csv,ASD221,20220404,2,Het,SHANK3B,Deterministic,female
237_20220703_behaviorDF.csv,ASD237,20220703,1,WT,SHANK3B,Deterministic,female
237_20220704_behaviorDF.csv,ASD237,20220704,2,WT,SHANK3B,Deterministic,female
238_20220703_behaviorDF.csv,ASD238,20220703,1,WT,SHANK3B,Deterministic,female
238_20220704_behaviorDF.csv,ASD238,20220704,2,WT,SHANK3B,Deterministic,female
253_20220904_behaviorDF.csv,ASD253,20220904,1,Het,SHANK3B,Deterministic,female
253_20220905_behaviorDF.csv,ASD253,20220905,2,Het,SHANK3B,Deterministic,female
254_20220904_behaviorDF.csv,ASD254,20220904,1,Het,SHANK3B,Deterministic,female
254_20220905_behaviorDF.csv,ASD254,20220905,2,Het,SHANK3B,Deterministic,female
263_20220926_behaviorDF.csv,ASD263,20220926,1,WT,SHANK3B,Deterministic,female
263_20220927_behaviorDF.csv,ASD263,20220927,2,WT,SHANK3B,Deterministic,female
265_20220926_behaviorDF.csv,ASD265,20220926,1,WT,SHANK3B,Deterministic,female
265_20220927_behaviorDF.csv,ASD265,20220927,2,WT,SHANK3B,Deterministic,female
277_20230103_behaviorDF.csv,ASD277,20230103,1,WT,SHANK3B,Deterministic,female
277_20230104_behaviorDF.csv,ASD277,20230104,2,WT,SHANK3B,Deterministic,female
287_20230216_behaviorDF.csv,ASD287,20230216,1,Het,SHANK3B,Deterministic,female
287_20230217_behaviorDF.csv,ASD287,20230217,2,Het,SHANK3B,Deterministic,female
307_20230606_behaviorDF.csv,ASD307,20230606,1,WT,SHANK3B,Deterministic,female
307_20230607_behaviorDF.csv,ASD307,20230607,2,WT,SHANK3B,Deterministic,female
352_20231019_behaviorDF.csv,ASD352,20231019,1,Het,SHANK3B,Deterministic,female
352_20231020_behaviorDF.csv,ASD352,20231020,2,Het,SHANK3B,Deterministic,female
358_20231114_behaviorDF.csv,ASD358,20231114,1,WT,SHANK3B,Deterministic,female
358_20231115_behaviorDF.csv,ASD358,20231115,2,WT,SHANK3B,Deterministic,female
390_20240424_behaviorDF.csv,ASD390,20240424,1,Het,SHANK3B,Deterministic,female
390_20240425_behaviorDF.csv,ASD390,20240425,2,Het,SHANK3B,Deterministic,female
