file_name,A_ID,date,session,genotype,strain,schedule_label,sex
012_20190713_behaviorDF.csv,ASD012,20190713,1,Het,Shank3B,Deterministic,male
012_20190714_behaviorDF.csv,ASD012,20190714,2,Het,Shank3B,Deterministic,male
013_20190713_behaviorDF.csv,ASD013,20190713,1,Het,Shank3B,Deterministic,male
013_20190714_behaviorDF.csv,ASD013,20190714,2,Het,Shank3B,Deterministic,male
014_20190713_behaviorDF.csv,ASD014,20190713,1,WT,Shank3B,Deterministic,male
014_20190714_behaviorDF.csv,ASD014,20190714,2,WT,Shank3B,Deterministic,male
104_20201223_behaviorDF.csv,ASD104,20201223,1,WT,Shank3B,Deterministic,male
104_20201226_behaviorDF.csv,ASD104,20201226,2,WT,Shank3B,Deterministic,male
105_20201223_behaviorDF.csv,ASD105,20201223,1,Het,Shank3B,Deterministic,male
105_20201226_behaviorDF.csv,ASD105,20201226,2,Het,Shank3B,Deterministic,male
128_20210306_behaviorDF.csv,ASD128,20210306,1,Het,Shank3B,Deterministic,male
128_20210307_behaviorDF.csv,ASD128,20210307,2,Het,Shank3B,Deterministic,male
138_20210428_behaviorDF.csv,ASD138,20210428,1,Het,Shank3B,Deterministic,male
138_20210429_behaviorDF.csv,ASD138,20210429,2,Het,Shank3B,Deterministic,male
139_20210428_behaviorDF.csv,ASD139,20210428,1,WT,Shank3B,Deterministic,male
139_20210429_behaviorDF.csv,ASD139,20210429,2,WT,Shank3B,Deterministic,male
141_20210428_behaviorDF.csv,ASD141,20210428,1,Het,Shank3B,Deterministic,male
141_20210429_behaviorDF.csv,ASD141,20210429,2,Het,Shank3B,Deterministic,male
178_20210919_behaviorDF.csv,ASD178,20210919,1,WT,Shank3B,Deterministic,male
178_20210920_behaviorDF.csv,ASD178,20210920,2,WT,Shank3B,Deterministic,male
198_20211216_behaviorDF.csv,ASD198,20211216,1,WT,Shank3B,Deterministic,male
198_20211217_behaviorDF.csv,ASD198,20211217,2,WT,Shank3B,Deterministic,male
235_20220703_behaviorDF.csv,ASD235,20220703,1,Het,Shank3B,Deterministic,male
235_20220704_behaviorDF.csv,ASD235,20220704,2,Het,Shank3B,Deterministic,male
236_20220703_behaviorDF.csv,ASD236,20220703,1,Het,Shank3B,Deterministic,male
236_20220704_behaviorDF.csv,ASD236,20220704,2,Het,Shank3B,Deterministic,male
247_20220815_behaviorDF.csv,ASD247,20220815,1,Het,Shank3B,Deterministic,male
247_20220816_behaviorDF.csv,ASD247,20220816,2,Het,Shank3B,Deterministic,male
248_20220816_behaviorDF.csv,ASD248,20220816,2,WT,Shank3B,Deterministic,male
260_20220925_behaviorDF.csv,ASD260,20220925,1,Het,Shank3B,Deterministic,male
260_20220926_behaviorDF.csv,ASD260,20220926,2,Het,Shank3B,Deterministic,male
262_20220925_behaviorDF.csv,ASD262,20220925,1,Het,Shank3B,Deterministic,male
262_20220926_behaviorDF.csv,ASD262,20220926,2,Het,Shank3B,Deterministic,male
268_20221016_behaviorDF.csv,ASD268,20221016,1,WT,Shank3B,Deterministic,male
268_20221017_behaviorDF.csv,ASD268,20221017,2,WT,Shank3B,Deterministic,male
269_20221016_behaviorDF.csv,ASD269,20221016,1,WT,Shank3B,Deterministic,male
269_20221017_behaviorDF.csv,ASD269,20221017,2,WT,Shank3B,Deterministic,male
270_20221105_behaviorDF.csv,ASD270,20221105,1,WT,Shank3B,Deterministic,male
270_20221106_behaviorDF.csv,ASD270,20221106,2,WT,Shank3B,Deterministic,male
274_20230103_behaviorDF.csv,ASD274,20230103,1,WT,Shank3B,Deterministic,male
274_20230104_behaviorDF.csv,ASD274,20230104,2,WT,Shank3B,Deterministic,male
275_20230103_behaviorDF.csv,ASD275,20230103,1,WT,Shank3B,Deterministic,male
275_20230104_behaviorDF.csv,ASD275,20230104,2,WT,Shank3B,Deterministic,male
292_20230403_behaviorDF.csv,ASD292,20230403,1,WT,Shank3B,Deterministic,male
292_20230404_behaviorDF.csv,ASD292,20230404,2,WT,Shank3B,Deterministic,male
293_20230403_behaviorDF.csv,ASD293,20230403,1,WT,Shank3B,Deterministic,male
293_20230404_behaviorDF.csv,ASD293,20230404,2,WT,Shank3B,Deterministic,male
306_20230609_behaviorDF.csv,ASD306,20230609,1,Het,Shank3B,Deterministic,male
306_20230610_behaviorDF.csv,ASD306,20230610,2,Het,Shank3B,Deterministic,male
313_20230622_behaviorDF.csv,ASD313,20230622,1,Het,Shank3B,Deterministic,male
313_20230623_behaviorDF.csv,ASD313,20230623,2,Het,Shank3B,Deterministic,male
314_20230622_behaviorDF.csv,ASD314,20230622,1,Het,Shank3B,Deterministic,male
314_20230623_behaviorDF.csv,ASD314,20230623,2,Het,Shank3B,Deterministic,male
