file_name,A_ID,date,session,genotype,strain,schedule_label,sex
048_20200306_behaviorDF.csv,ASD048,20200306,1,WT,Shank3B,Probabilistic,male
048_20200307_behaviorDF.csv,ASD048,20200307,2,WT,Shank3B,Probabilistic,male
049_20200306_behaviorDF.csv,ASD049,20200306,1,HET,Shank3B,Probabilistic,male
049_20200307_behaviorDF.csv,ASD049,20200307,2,HET,Shank3B,Probabilistic,male
086_20201021_behaviorDF.csv,ASD086,20201021,1,HET,Shank3B,Probabilistic,male
086_20201022_behaviorDF.csv,ASD086,20201022,2,HET,Shank3B,Probabilistic,male
131_20210306_behaviorDF.csv,ASD131,20210306,1,HET,Shank3B,Probabilistic,male
131_20210307_behaviorDF.csv,ASD131,20210307,2,HET,Shank3B,Probabilistic,male
132_20210306_behaviorDF.csv,ASD132,20210306,1,HET,Shank3B,Probabilistic,male
132_20210307_behaviorDF.csv,ASD132,20210307,2,HET,Shank3B,Probabilistic,male
133_20210306_behaviorDF.csv,ASD133,20210306,1,HET,Shank3B,Probabilistic,male
133_20210307_behaviorDF.csv,ASD133,20210307,2,HET,Shank3B,Probabilistic,male
152_20210801_behaviorDF.csv,ASD152,20210801,1,WT,Shank3B,Probabilistic,male
152_20210802_behaviorDF.csv,ASD152,20210802,2,WT,Shank3B,Probabilistic,male
153_20210801_behaviorDF.csv,ASD153,20210801,1,WT,Shank3B,Probabilistic,male
153_20210802_behaviorDF.csv,ASD153,20210802,2,WT,Shank3B,Probabilistic,male
154_20210801_behaviorDF.csv,ASD154,20210801,1,WT,Shank3B,Probabilistic,male
154_20210802_behaviorDF.csv,ASD154,20210802,2,WT,Shank3B,Probabilistic,male
155_20210801_behaviorDF.csv,ASD155,20210801,1,HET,Shank3B,Probabilistic,male
155_20210802_behaviorDF.csv,ASD155,20210802,2,HET,Shank3B,Probabilistic,male
285_20230216_behaviorDF.csv,ASD285,20230216,1,WT,Shank3B,Probabilistic,male
285_20230217_behaviorDF.csv,ASD285,20230217,2,WT,Shank3B,Probabilistic,male
298_20230503_behaviorDF.csv,ASD298,20230503,1,WT,Shank3B,Probabilistic,male
298_20230504_behaviorDF.csv,ASD298,20230504,2,WT,Shank3B,Probabilistic,male
300_20230503_behaviorDF.csv,ASD300,20230503,1,WT,Shank3B,Probabilistic,male
300_20230504_behaviorDF.csv,ASD300,20230504,2,WT,Shank3B,Probabilistic,male
337_20230906_behaviorDF.csv,ASD337,20230906,1,WT,Shank3B,Probabilistic,male
337_20230907_behaviorDF.csv,ASD337,20230907,2,WT,Shank3B,Probabilistic,male
338_20230906_behaviorDF.csv,ASD338,20230906,1,HET,Shank3B,Probabilistic,male
338_20230907_behaviorDF.csv,ASD338,20230907,2,HET,Shank3B,Probabilistic,male
346_20231019_behaviorDF.csv,ASD346,20231019,1,HET,Shank3B,Probabilistic,male
346_20231020_behaviorDF.csv,ASD346,20231020,2,HET,Shank3B,Probabilistic,male
347_20231020_behaviorDF.csv,ASD347,20231020,1,HET,Shank3B,Probabilistic,male
347_20231021_behaviorDF.csv,ASD347,20231021,2,HET,Shank3B,Probabilistic,male
348_20231020_behaviorDF.csv,ASD348,20231020,1,WT,Shank3B,Probabilistic,male
348_20231021_behaviorDF.csv,ASD348,20231021,2,WT,Shank3B,Probabilistic,male
356_20231111_behaviorDF.csv,ASD356,20231111,1,WT,Shank3B,Probabilistic,male
356_20231112_behaviorDF.csv,ASD356,20231112,2,WT,Shank3B,Probabilistic,male
367_20240107_behaviorDF.csv,ASD367,20240107,1,WT,Shank3B,Probabilistic,male
367_20240108_behaviorDF.csv,ASD367,20240108,2,WT,Shank3B,Probabilistic,male
368_20240107_behaviorDF.csv,ASD368,20240107,1,HET,Shank3B,Probabilistic,male
368_20240108_behaviorDF.csv,ASD368,20240108,2,HET,Shank3B,Probabilistic,male
369_20240110_behaviorDF.csv,ASD369,20240110,1,HET,Shank3B,Probabilistic,male
369_20240111_behaviorDF.csv,ASD369,20240111,2,HET,Shank3B,Probabilistic,male
