file_name,A_ID,date,session,genotype,strain,schedule_label,sex
008_20190618_behaviorDF.csv,ASD008,20190618,1,HET,TSC2,Deterministic,female
008_20190619_behaviorDF.csv,ASD008,20190619,2,HET,TSC2,Deterministic,female
009_20190618_behaviorDF.csv,ASD009,20190618,1,HET,TSC2,Deterministic,female
009_20190619_behaviorDF.csv,ASD009,20190619,2,HET,TSC2,Deterministic,female
010_20190618_behaviorDF.csv,ASD010,20190618,1,HET,TSC2,Deterministic,female
010_20190619_behaviorDF.csv,ASD010,20190619,2,HET,TSC2,Deterministic,female
011_20190618_behaviorDF.csv,ASD011,20190618,1,HET,TSC2,Deterministic,female
011_20190619_behaviorDF.csv,ASD011,20190619,2,HET,TSC2,Deterministic,female
024_20191221_behaviorDF.csv,ASD024,20191221,1,WT,TSC2,Deterministic,female
024_20191222_behaviorDF.csv,ASD024,20191222,2,WT,TSC2,Deterministic,female
076_20200820_behaviorDF.csv,ASD076,20200820,1,HET,TSC2,Deterministic,female
076_20200821_behaviorDF.csv,ASD076,20200821,2,HET,TSC2,Deterministic,female
077_20200820_behaviorDF.csv,ASD077,20200820,1,HET,TSC2,Deterministic,female
077_20200821_behaviorDF.csv,ASD077,20200821,2,HET,TSC2,Deterministic,female
078_20200820_behaviorDF.csv,ASD078,20200820,1,HET,TSC2,Deterministic,female
078_20200821_behaviorDF.csv,ASD078,20200821,2,HET,TSC2,Deterministic,female
112_20201228_behaviorDF.csv,ASD112,20201228,1,WT,TSC2,Deterministic,female
112_20201229_behaviorDF.csv,ASD112,20201229,2,WT,TSC2,Deterministic,female
113_20201228_behaviorDF.csv,ASD113,20201228,1,HET,TSC2,Deterministic,female
113_20201229_behaviorDF.csv,ASD113,20201229,2,HET,TSC2,Deterministic,female
114_20201228_behaviorDF.csv,ASD114,20201228,1,HET,TSC2,Deterministic,female
114_20201229_behaviorDF.csv,ASD114,20201229,2,HET,TSC2,Deterministic,female
117_20210115_behaviorDF.csv,ASD117,20210115,1,WT,TSC2,Deterministic,female
117_20210116_behaviorDF.csv,ASD117,20210116,2,WT,TSC2,Deterministic,female
118_20210115_behaviorDF.csv,ASD118,20210115,1,WT,TSC2,Deterministic,female
118_20210116_behaviorDF.csv,ASD118,20210116,2,WT,TSC2,Deterministic,female
127_20210210_behaviorDF.csv,ASD127,20210210,1,WT,TSC2,Deterministic,female
127_20210211_behaviorDF.csv,ASD127,20210211,2,WT,TSC2,Deterministic,female
137_20210331_behaviorDF.csv,ASD137,20210331,1,WT,TSC2,Deterministic,female
137_20210401_behaviorDF.csv,ASD137,20210401,2,WT,TSC2,Deterministic,female
175_20210904_behaviorDF.csv,ASD175,20210904,1,WT,TSC2,Deterministic,female
175_20210905_behaviorDF.csv,ASD175,20210905,2,WT,TSC2,Deterministic,female
176_20210904_behaviorDF.csv,ASD176,20210904,1,HET,TSC2,Deterministic,female
176_20210905_behaviorDF.csv,ASD176,20210905,2,HET,TSC2,Deterministic,female
177_20210904_behaviorDF.csv,ASD177,20210904,1,WT,TSC2,Deterministic,female
177_20210905_behaviorDF.csv,ASD177,20210905,2,WT,TSC2,Deterministic,female
203_20220106_behaviorDF.csv,ASD203,20220106,1,WT,TSC2,Deterministic,female
203_20220107_behaviorDF.csv,ASD203,20220107,2,WT,TSC2,Deterministic,female
204_20220106_behaviorDF.csv,ASD204,20220106,1,WT,TSC2,Deterministic,female
204_20220107_behaviorDF.csv,ASD204,20220107,2,WT,TSC2,Deterministic,female
