file_name,A_ID,date,session,genotype,strain,schedule_label,sex
006_20190603_behaviorDF.csv,6,20190603,1,Het,Tsc2,Deterministic,male
006_20190604_behaviorDF.csv,6,20190604,2,Het,Tsc2,Deterministic,male
007_20190603_behaviorDF.csv,7,20190603,1,Het,Tsc2,Deterministic,male
007_20190604_behaviorDF.csv,7,20190604,2,Het,Tsc2,Deterministic,male
019_20191110_behaviorDF.csv,19,20191110,1,WT,Tsc2,Deterministic,male
019_20191111_behaviorDF.csv,19,20191111,2,WT,Tsc2,Deterministic,male
020_20191110_behaviorDF.csv,20,20191110,1,WT,Tsc2,Deterministic,male
020_20191111_behaviorDF.csv,20,20191111,2,WT,Tsc2,Deterministic,male
022_20191221_behaviorDF.csv,22,20191221,1,WT,Tsc2,Deterministic,male
022_20191222_behaviorDF.csv,22,20191222,2,WT,Tsc2,Deterministic,male
023_20191221_behaviorDF.csv,23,20191221,1,Het,Tsc2,Deterministic,male
023_20191222_behaviorDF.csv,23,20191222,2,Het,Tsc2,Deterministic,male
028_20200108_behaviorDF.csv,28,20200108,1,Het,Tsc2,Deterministic,male
028_20200109_behaviorDF.csv,28,20200109,2,Het,Tsc2,Deterministic,male
029_20200108_behaviorDF.csv,29,20200108,1,Het,Tsc2,Deterministic,male
029_20200109_behaviorDF.csv,29,20200109,2,Het,Tsc2,Deterministic,male
030_20200108_behaviorDF.csv,30,20200108,1,Het,Tsc2,Deterministic,male
030_20200109_behaviorDF.csv,30,20200109,2,Het,Tsc2,Deterministic,male
073_20200820_behaviorDF.csv,73,20200820,1,Het,Tsc2,Deterministic,male
073_20200821_behaviorDF.csv,73,20200821,2,Het,Tsc2,Deterministic,male
074_20200820_behaviorDF.csv,74,20200820,1,WT,Tsc2,Deterministic,male
074_20200821_behaviorDF.csv,74,20200821,2,WT,Tsc2,Deterministic,male
075_20200820_behaviorDF.csv,75,20200820,1,Het,Tsc2,Deterministic,male
075_20200821_behaviorDF.csv,75,20200821,2,Het,Tsc2,Deterministic,male
115_20210116_behaviorDF.csv,115,20210116,1,WT,Tsc2,Deterministic,male
115_20210117_behaviorDF.csv,115,20210117,2,WT,Tsc2,Deterministic,male
123_20210210_behaviorDF.csv,123,20210210,1,WT,Tsc2,Deterministic,male
123_20210211_behaviorDF.csv,123,20210211,2,WT,Tsc2,Deterministic,male
125_20210210_behaviorDF.csv,125,20210210,1,WT,Tsc2,Deterministic,male
125_20210211_behaviorDF.csv,125,20210211,2,WT,Tsc2,Deterministic,male
146_20210615_behaviorDF.csv,146,20210615,1,WT,Tsc2,Deterministic,male
146_20210616_behaviorDF.csv,146,20210616,2,WT,Tsc2,Deterministic,male
147_20210615_behaviorDF.csv,147,20210615,1,Het,Tsc2,Deterministic,male
147_20210616_behaviorDF.csv,147,20210616,2,Het,Tsc2,Deterministic,male
148_20210615_behaviorDF.csv,148,20210615,1,Het,Tsc2,Deterministic,male
148_20210616_behaviorDF.csv,148,20210616,2,Het,Tsc2,Deterministic,male
172_20210904_behaviorDF.csv,172,20210904,1,WT,Tsc2,Deterministic,male
172_20210905_behaviorDF.csv,172,20210905,2,WT,Tsc2,Deterministic,male
173_20210904_behaviorDF.csv,173,20210904,1,WT,Tsc2,Deterministic,male
173_20210905_behaviorDF.csv,173,20210905,2,WT,Tsc2,Deterministic,male
353_20231101_behaviorDF.csv,353,20231101,1,Het,Tsc2,Deterministic,male
353_20231102_behaviorDF.csv,353,20231102,2,Het,Tsc2,Deterministic,male
354_20231101_behaviorDF.csv,354,20231101,1,WT,Tsc2,Deterministic,male
354_20231102_behaviorDF.csv,354,20231102,2,WT,Tsc2,Deterministic,male
360_20231119_behaviorDF.csv,360,20231119,1,Het,Tsc2,Deterministic,male
360_20231120_behaviorDF.csv,360,20231120,2,Het,Tsc2,Deterministic,male
361_20231119_behaviorDF.csv,361,20231119,1,Het,Tsc2,Deterministic,male
361_20231120_behaviorDF.csv,361,20231120,2,Het,Tsc2,Deterministic,male
362_20231119_behaviorDF.csv,362,20231119,1,Het,Tsc2,Deterministic,male
362_20231120_behaviorDF.csv,362,20231120,2,Het,Tsc2,Deterministic,male
364_20231119_behaviorDF.csv,364,20231119,1,Het,Tsc2,Deterministic,male
364_20231120_behaviorDF.csv,364,20231120,2,Het,Tsc2,Deterministic,male
365_20231227_behaviorDF.csv,365,20231227,1,WT,Tsc2,Deterministic,male
365_20231228_behaviorDF.csv,365,20231228,2,WT,Tsc2,Deterministic,male
366_20231227_behaviorDF.csv,366,20231227,1,WT,Tsc2,Deterministic,male
366_20231228_behaviorDF.csv,366,20231228,2,WT,Tsc2,Deterministic,male
