file_name,A_ID,date,session,genotype,strain,schedule_label,sex
042_20200220_behaviorDF.csv,ASD042,20200220,1,HET,TSC2,Probabilistic,male
042_20200221_behaviorDF.csv,ASD042,20200221,2,HET,TSC2,Probabilistic,male
043_20200220_behaviorDF.csv,ASD043,20200220,1,HET,TSC2,Probabilistic,male
043_20200221_behaviorDF.csv,ASD043,20200221,2,HET,TSC2,Probabilistic,male
044_20200220_behaviorDF.csv,ASD044,20200220,1,WT,TSC2,Probabilistic,male
044_20200221_behaviorDF.csv,ASD044,20200221,2,WT,TSC2,Probabilistic,male
058_20200709_behaviorDF.csv,ASD058,20200709,1,HET,TSC2,Probabilistic,male
058_20200710_behaviorDF.csv,ASD058,20200710,2,HET,TSC2,Probabilistic,male
059_20200709_behaviorDF.csv,ASD059,20200709,1,WT,TSC2,Probabilistic,male
059_20200710_behaviorDF.csv,ASD059,20200710,2,WT,TSC2,Probabilistic,male
060_20200709_behaviorDF.csv,ASD060,20200709,1,HET,TSC2,Probabilistic,male
060_20200710_behaviorDF.csv,ASD060,20200710,2,HET,TSC2,Probabilistic,male
061_20200709_behaviorDF.csv,ASD061,20200709,1,WT,TSC2,Probabilistic,male
061_20200710_behaviorDF.csv,ASD061,20200710,2,WT,TSC2,Probabilistic,male
062_20200709_behaviorDF.csv,ASD062,20200709,1,HET,TSC2,Probabilistic,male
062_20200710_behaviorDF.csv,ASD062,20200710,2,HET,TSC2,Probabilistic,male
099_20201223_behaviorDF.csv,ASD099,20201223,1,HET,TSC2,Probabilistic,male
099_20201226_behaviorDF.csv,ASD099,20201226,2,HET,TSC2,Probabilistic,male
100_20201223_behaviorDF.csv,ASD100,20201223,1,WT,TSC2,Probabilistic,male
100_20201226_behaviorDF.csv,ASD100,20201226,2,WT,TSC2,Probabilistic,male
108_20201228_behaviorDF.csv,ASD108,20201228,1,WT,TSC2,Probabilistic,male
108_20201229_behaviorDF.csv,ASD108,20201229,2,WT,TSC2,Probabilistic,male
109_20201228_behaviorDF.csv,ASD109,20201228,1,HET,TSC2,Probabilistic,male
109_20201229_behaviorDF.csv,ASD109,20201229,2,HET,TSC2,Probabilistic,male
110_20201228_behaviorDF.csv,ASD110,20201228,1,WT,TSC2,Probabilistic,male
110_20201229_behaviorDF.csv,ASD110,20201229,2,WT,TSC2,Probabilistic,male
111_20201228_behaviorDF.csv,ASD111,20201228,1,WT,TSC2,Probabilistic,male
111_20201229_behaviorDF.csv,ASD111,20201229,2,WT,TSC2,Probabilistic,male
124_20210210_behaviorDF.csv,ASD124,20210210,1,HET,TSC2,Probabilistic,male
124_20210211_behaviorDF.csv,ASD124,20210211,2,HET,TSC2,Probabilistic,male
149_20210718_behaviorDF.csv,ASD149,20210718,1,WT,TSC2,Probabilistic,male
149_20210719_behaviorDF.csv,ASD149,20210719,2,WT,TSC2,Probabilistic,male
150_20210718_behaviorDF.csv,ASD150,20210718,1,WT,TSC2,Probabilistic,male
150_20210719_behaviorDF.csv,ASD150,20210719,2,WT,TSC2,Probabilistic,male
151_20210718_behaviorDF.csv,ASD151,20210718,1,WT,TSC2,Probabilistic,male
151_20210719_behaviorDF.csv,ASD151,20210719,2,WT,TSC2,Probabilistic,male
174_20210904_behaviorDF.csv,ASD174,20210904,1,HET,TSC2,Probabilistic,male
174_20210905_behaviorDF.csv,ASD174,20210905,2,HET,TSC2,Probabilistic,male
195_20211205_behaviorDF.csv,ASD195,20211205,1,HET,TSC2,Probabilistic,male
195_20211206_behaviorDF.csv,ASD195,20211206,2,HET,TSC2,Probabilistic,male
