trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,732.620506,730.465841,731.060508,732.567173,761.241144,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
2,787.735118,786.387786,786.669785,787.681784,829.961075,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
3,831.966407,830.851741,831.293074,831.913073,835.258403,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
4,850.432388,848.303724,848.56039,850.379055,867.569038,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
5,869.037703,868.149704,868.545703,868.98437,882.627689,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
6,893.085012,890.974348,891.419681,893.031679,899.245673,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
7,902.285003,901.51767,901.775003,902.285003,913.793658,0,NaN,0,7.00000000000003,1,2,66,0.5
8,915.948989,915.208323,915.46299,915.948989,967.722271,0,NaN,0,7.00000000000003,1,2,66,0.5
9,969.135603,968.31827,968.477603,969.08227,972.473599,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
10,982.959589,981.72559,981.746257,982.906256,1017.941554,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
11,1019.916219,1018.91822,1019.010886,1019.862885,1060.066179,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
12,1063.733508,1062.982176,1063.174175,1063.680175,1068.786836,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
13,1071.7095,1070.308835,1070.998834,1071.656167,1074.284831,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
14,1077.711494,1076.876162,1077.179495,1077.711494,1089.279483,0,NaN,0,7.00000000000003,1,2,66,0.5
15,1091.658814,1090.597481,1091.127481,1091.658814,1138.000101,1,NaN,0,5.99999999999996,2,1,65,0.5
16,1154.824084,1153.878085,1154.072751,1154.824084,1162.144076,1,NaN,0,5.99999999999996,2,1,65,0.5
17,1163.622075,1162.923409,1163.132742,1163.622075,1220.384018,1,NaN,0,5.99999999999996,2,1,65,0.5
18,1222.10535,1221.039351,1221.446017,1222.052017,1240.615998,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
19,1244.657994,1243.446662,1244.003328,1244.604661,1247.051992,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
20,1260.247978,1259.162646,1259.417313,1260.194645,1261.71731,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
21,1267.659971,1266.553972,1266.931305,1267.606638,1278.12196,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
22,1281.724624,1279.495959,1280.115958,1281.67129,1284.81662,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
23,1287.055285,1285.941286,1286.294619,1287.001952,1291.730614,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
24,1295.788609,1294.581944,1295.183943,1295.735276,1299.483939,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
25,1310.421928,1307.965931,1309.526596,1310.368595,1313.180592,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
26,1315.975256,1314.752591,1315.29659,1315.921923,1320.365252,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
27,1323.155249,1321.005251,1321.345251,1323.155249,1330.730575,1,NaN,0,5.99999999999996,2,1,65,0.5
28,1333.165905,1331.970573,1332.624573,1333.165905,1359.302546,0,NaN,0,7.00000000000003,1,2,66,0.5
29,1360.809878,1359.986545,1360.258545,1360.756545,1375.972529,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
30,1378.460527,1377.847861,1378.001194,1378.460527,1385.269853,1,NaN,0,5.99999999999996,2,1,65,0.5
31,1402.940502,1401.397837,1401.525837,1402.940502,1403.356502,1,NaN,0,5.99999999999996,2,1,65,0.5
32,1423.251149,1422.40915,1422.522483,1423.197815,1453.827785,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
33,1465.66044,1464.88644,1465.115107,1465.607106,1473.353099,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
34,1475.609096,1474.451764,1475.003764,1475.555763,1478.99776,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
35,1481.391091,1480.551758,1480.843758,1481.391091,1485.257087,0,NaN,0,7.00000000000003,1,2,66,0.5
36,1493.706412,1492.08708,1492.773746,1493.653078,1496.860408,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
37,1500.284405,1498.287074,1499.549739,1500.284405,1507.965064,0,NaN,0,7.00000000000003,1,2,66,0.5
38,1509.576396,1508.64373,1508.915063,1509.523062,1512.582393,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
39,1514.754391,1513.469058,1514.028391,1514.701057,1517.537054,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
40,1518.93772,1518.11172,1518.420387,1518.93772,1525.339713,0,NaN,0,7.00000000000003,1,2,66,0.5
41,1529.581042,1528.610377,1528.667043,1529.527709,1532.36104,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
42,1535.10437,1534.341704,1534.386371,1535.051037,1537.553034,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
43,1540.594365,1539.647699,1539.973699,1540.594365,1544.126361,0,NaN,0,7.00000000000003,1,2,66,0.5
44,1550.413022,1548.680357,1549.784355,1550.359688,1588.038317,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
45,1590.252315,1589.471649,1589.744315,1590.252315,1590.560981,0,NaN,0,7.00000000000003,1,2,66,0.5
46,1652.021587,1650.805588,1650.920921,1652.021587,1653.512918,0,NaN,0,7.00000000000003,1,2,66,0.5
47,1711.332194,1710.413528,1710.656861,1711.278861,1717.193521,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
48,1719.501519,1718.612853,1718.888853,1719.501519,1726.760179,0,NaN,0,7.00000000000003,1,2,66,0.5
49,1729.014843,1728.106844,1728.51751,1729.014843,1737.029502,0,NaN,0,7.00000000000003,1,2,66,0.5
50,1740.836164,1739.885499,1740.332832,1740.836164,1753.340152,0,NaN,0,7.00000000000003,1,2,66,0.5
51,1755.596816,1754.347484,1755.090817,1755.596816,1776.052129,0,NaN,0,7.00000000000003,1,2,66,0.5
52,1779.628792,1778.394794,1778.86746,1779.575459,1805.932766,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
53,1807.142098,1806.520765,1806.733432,1807.142098,1817.194088,0,NaN,0,7.00000000000003,1,2,66,0.5
54,1818.78342,1817.923421,1818.276754,1818.730087,1822.747416,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
55,1825.154747,1824.432747,1824.679414,1825.154747,1830.534075,0,NaN,0,7.00000000000003,1,2,66,0.5
56,1836.540069,1835.571403,1835.57807,1836.486735,1863.750708,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
57,1865.177373,1864.394708,1864.444041,1865.177373,1870.292035,1,NaN,0,5.99999999999996,2,1,65,0.5
58,1910.327328,1909.516662,1909.691329,1910.327328,2072.067167,1,NaN,0,5.99999999999996,2,1,65,0.5
59,2073.741832,2072.877832,2073.156499,2073.688498,2076.318496,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
60,2077.888494,2077.051828,2077.243161,2077.888494,2085.879819,1,NaN,0,5.99999999999996,2,1,65,0.5
61,2088.077817,2086.689819,2087.481818,2088.024484,2092.499146,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
62,2094.751144,2093.117145,2094.196478,2094.751144,2109.289796,1,NaN,0,5.99999999999996,2,1,65,0.5
63,2110.683128,2109.819129,2110.149795,2110.683128,2125.654446,1,NaN,0,5.99999999999996,2,1,65,0.5
64,2128.211777,2127.253111,2127.617778,2128.158444,2129.795775,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
65,2131.843107,2130.460441,2131.252441,2131.789773,2136.685769,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
66,2138.260434,2137.321101,2137.771768,2138.260434,2138.4691,0,NaN,0,7.00000000000003,1,2,66,0.5
67,2148.613757,2147.763758,2147.928424,2148.560423,2163.272409,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
68,2164.569741,2163.861075,2164.129074,2164.569741,2170.105069,0,NaN,0,7.00000000000003,1,2,66,0.5
69,2173.116399,2171.577067,2172.476399,2173.116399,2225.33568,0,NaN,0,7.00000000000003,1,2,66,0.5
70,2238.047667,2236.857002,2237.175001,2238.047667,2238.390334,0,NaN,0,7.00000000000003,1,2,66,0.5
71,2312.606259,2311.286261,2311.752927,2312.606259,2325.440913,0,NaN,0,7.00000000000003,1,2,66,0.5
72,2330.291575,2328.603577,2329.516242,2330.291575,2340.694898,0,NaN,0,7.00000000000003,1,2,66,0.5
73,2345.030894,2344.256894,2344.510227,2345.030894,2350.828221,0,NaN,0,7.00000000000003,1,2,66,0.5
74,2355.414217,2354.157551,2354.552217,2355.414217,2355.740883,0,NaN,0,7.00000000000003,1,2,66,0.5
75,2529.305376,2521.642717,2521.781383,NaN,2542.486696,NaN,NaN,0,7.00000000000003,1,2,66,0.5
76,2544.300694,2543.381362,2543.520695,2544.300694,2556.001349,0,NaN,0,7.00000000000003,1,2,66,0.5
77,2559.172679,2557.798014,2558.048014,2559.119346,2563.044676,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
78,2565.068674,2564.090674,2564.479341,2565.068674,2573.662665,0,NaN,0,7.00000000000003,1,2,66,0.5
79,2574.826664,2574.113998,2574.375331,2574.826664,2580.023992,0,NaN,0,7.00000000000003,1,2,66,0.5
80,2583.495322,2582.348656,2582.795989,2583.441989,2585.691986,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
81,2591.109981,2589.899982,2590.474648,2591.056648,2593.884645,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
82,2595.710643,2594.78531,2595.140643,2595.710643,2598.19264,0,NaN,0,7.00000000000003,1,2,66,0.5
83,2610.788628,2608.51063,2610.045295,2610.735295,2612.835292,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
84,2615.314623,2614.046625,2614.662624,2615.26129,2617.541288,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
85,2619.530619,2618.365954,2618.849953,2619.477286,2620.272618,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
86,2624.99128,2623.679282,2624.289281,2624.937947,2625.537946,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
87,2628.52861,2626.447279,2627.835944,2628.475277,2631.237941,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
88,2634.409938,2632.35194,2633.695272,2634.409938,2641.357264,1,NaN,0,5.99999999999996,2,1,65,0.5
89,2645.299927,2642.07393,2644.651927,2645.299927,2718.611853,1,NaN,0,5.99999999999996,2,1,65,0.5
90,2720.805184,2719.866519,2720.073852,2720.751851,2728.241177,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
91,2730.414508,2728.951843,2729.319176,2730.361175,2733.999838,0,1.99999999999996,0.0200000000000003,5.99999999999996,2,1,65,0.5
92,2735.950503,2734.832504,2735.27317,2735.897169,2738.517833,1,1.99999999999996,0.0200000000000003,7.00000000000003,1,2,66,0.5
