trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,997.709272,989.945272,989.984772,997.655772,1002.195773,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
2,1021.255772,1008.724272,1008.757267,NaN,1030.962772,NaN,NaN,0,8.00000000000001,1,2,66,0.5
3,1033.017772,1031.555772,1032.044272,1033.017772,1042.467272,1,NaN,0,8.99999999999999,2,1,65,0.5
4,1045.349772,1044.763772,1044.824772,1045.349772,1073.385273,0,NaN,0,8.00000000000001,1,2,66,0.5
5,1074.968773,1074.063772,1074.199272,1074.968773,1075.615773,1,NaN,0,8.99999999999999,2,1,65,0.5
6,1094.684272,1093.191273,1093.236272,1094.630772,1101.015773,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
7,1104.478772,1103.252272,1103.686772,1104.425772,1106.021272,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
8,1109.087773,1108.048272,1108.167773,1109.034773,1110.790273,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
9,1116.218273,1115.439273,1115.499272,1116.218273,1116.619272,0,NaN,0,8.00000000000001,1,2,66,0.5
10,1127.907272,1124.222272,1125.307767,1127.854772,1129.844275,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
11,1137.036773,1135.835772,1136.259772,1136.983772,1138.523277,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
12,1148.721272,1147.843272,1148.028774,1148.668273,1162.066773,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
13,1163.148272,1162.607272,1162.710274,1163.148272,1172.229277,1,NaN,0,8.99999999999999,2,1,65,0.5
14,1178.819773,1177.802273,1178.067773,1178.816773,1184.138276,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
15,1185.212272,1184.527272,1184.802772,1185.212272,1185.699776,1,NaN,0,8.99999999999999,2,1,65,0.5
16,1220.276773,1213.133773,1213.935273,NaN,1230.679777,NaN,NaN,0,8.99999999999999,2,1,65,0.5
17,1231.920272,1231.203772,1231.451277,1231.920272,1245.961773,1,NaN,0,8.99999999999999,2,1,65,0.5
18,1249.084772,1246.684772,1246.999272,1249.084772,1258.652773,1,NaN,0,8.99999999999999,2,1,65,0.5
19,1269.935772,1265.815272,1266.116772,1269.385272,1314.746272,0,NaN,0,8.99999999999999,2,1,65,0.5
20,1319.674274,1318.086773,1318.538773,1319.674274,1319.977772,1,NaN,0,8.99999999999999,2,1,65,0.5
21,1354.502272,1343.079772,1343.802772,NaN,1366.646272,NaN,NaN,0,8.99999999999999,2,1,65,0.5
22,1385.848771,1384.592773,1385.058772,1385.79627,1426.588772,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
23,1433.306272,1431.509773,1432.346772,1433.253772,1472.056272,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
24,1474.434273,1473.290772,1473.629772,1474.382272,1479.978274,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
25,1481.983777,1480.909772,1481.410772,1481.931272,1486.011273,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
26,1493.800272,1492.504272,1493.113273,1493.800272,1496.403772,0,NaN,0,8.00000000000001,1,2,66,0.5
27,1505.815772,1504.627773,1504.667773,1505.815772,1507.541773,0,NaN,0,8.00000000000001,1,2,66,0.5
28,1514.346272,1512.773773,1513.239273,1514.346272,1523.194772,0,NaN,0,8.00000000000001,1,2,66,0.5
29,1525.236772,1524.418772,1524.623774,1525.233774,1548.692274,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
30,1550.664772,1549.740272,1550.022272,1550.611772,1553.049772,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
31,1556.149272,1553.983773,1554.037772,1556.096777,1563.272272,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
32,1566.042272,1564.091272,1565.293772,1565.989773,1567.434772,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
33,1570.449772,1568.718772,1569.771272,1570.449772,1576.310272,1,NaN,0,8.99999999999999,2,1,65,0.5
34,1579.766774,1578.935272,1579.290272,1579.714272,1681.800773,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
35,1683.887272,1682.954274,1683.227772,1683.887272,1691.781772,1,NaN,0,8.99999999999999,2,1,65,0.5
36,1693.356773,1692.503273,1692.846773,1693.356773,1753.371773,1,NaN,0,8.99999999999999,2,1,65,0.5
37,1755.720772,1754.792273,1755.165273,1755.720772,1762.452772,1,NaN,0,8.99999999999999,2,1,65,0.5
38,1763.746772,1762.984775,1763.296772,1763.746772,1770.370272,1,NaN,0,8.99999999999999,2,1,65,0.5
39,1772.170772,1770.924273,1771.199772,1772.170772,1785.575773,1,NaN,0,8.99999999999999,2,1,65,0.5
40,1803.861773,1802.475273,1802.937772,1803.809272,1807.881773,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
41,1921.056772,1915.202772,1915.583773,1921.056772,1921.705277,1,NaN,0,8.99999999999999,2,1,65,0.5
42,1931.636772,1930.343772,1930.605272,1931.634772,1933.350272,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
43,1983.762777,1982.304272,1982.847272,1983.762777,1995.613767,0,NaN,0,8.00000000000001,1,2,66,0.5
44,1999.164273,1998.114273,1998.418273,1999.111273,2003.216772,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
45,2005.071273,2004.130772,2004.398273,2005.018273,2010.208274,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
46,2012.746772,2011.839272,2012.040276,2012.744277,2034.285272,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
47,2035.831772,2035.096772,2035.184773,2035.831772,2040.691773,1,NaN,0,8.99999999999999,2,1,65,0.5
48,2043.124777,2042.322272,2042.557773,2043.124777,2049.886272,1,NaN,0,8.99999999999999,2,1,65,0.5
49,2052.538772,2051.808772,2052.039772,2052.538772,2061.020272,0,NaN,0,8.00000000000001,1,2,66,0.5
50,2062.510274,2061.632272,2061.855272,2062.507772,2067.063272,1,1.99999999999996,0.0200000000000003,8.00000000000001,1,2,66,0.5
51,2069.382272,2068.548772,2068.774772,2069.329772,2070.894272,0,1.99999999999996,0.0200000000000003,8.99999999999999,2,1,65,0.5
52,2072.679273,2071.935277,2072.159273,2072.679273,2081.808772,1,NaN,0,8.99999999999999,2,1,65,0.5
53,2083.570272,2082.834272,2083.057272,2083.570272,2089.856272,1,NaN,0,8.99999999999999,2,1,65,0.5
