strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
SHANK3B,female,Deterministic,1,Het,ASD015,93,4.203078268817193,2.9319970000001376,0.3571254844755882,3.4439934501329836,0.8419990000002144,16.49931699999979,session,93
SHANK3B,female,Deterministic,1,Het,ASD016,263,3.9745380418250753,2.2649990000008984,0.23661267232416502,3.8372127141002554,0.4920000000001892,17.02500000000009,session,93
SHANK3B,female,Deterministic,1,Het,ASD107,51,5.193755019607989,3.0796550000013667,0.5782756356021859,4.129714063623137,0.9016630000005534,15.725942999999916,session,93
SHANK3B,female,Deterministic,1,Het,ASD156,480,2.5507429604166485,1.1952514999999835,0.14034179795493493,3.0747347400300105,0.48050100000000384,16.536496000000625,session,93
SHANK3B,female,Deterministic,1,Het,ASD159,524,2.8460187862594157,1.3949984999999288,0.13725885940699098,3.1419989036457423,0.48466599999983373,16.489316999999573,session,93
SHANK3B,female,Deterministic,1,Het,ASD221,899,2.7920309499443836,1.4039889999985462,0.10403259328215463,3.1192434400098,0.5235029999985272,17.049425999999585,session,93
SHANK3B,female,Deterministic,1,Het,ASD253,649,2.8025683235747656,1.7339979999997013,0.11247564027296417,2.865370744942754,0.5673329999990528,16.81131699999969,session,93
SHANK3B,female,Deterministic,1,Het,ASD254,393,3.058859302798884,2.2336580000046524,0.11912543458095569,2.361569728272258,0.5656649999999672,15.014112000000068,session,93
SHANK3B,female,Deterministic,1,Het,ASD287,1179,2.219866581849007,1.3719989999990503,0.06530744241687132,2.2424335306322605,0.42533300000013696,16.790649999999005,session,93
SHANK3B,female,Deterministic,1,Het,ASD352,263,4.47133852471492,3.014000000002852,0.23359666820976951,3.7883013467594484,0.5019999999999527,16.112499999999955,session,93
SHANK3B,female,Deterministic,1,Het,ASD390,1029,3.315624896987366,1.9035009999970498,0.10616658366563811,3.4056148414585423,0.4114999999983411,17.16800200000216,session,93
SHANK3B,female,Deterministic,1,WT,ASD106,651,2.218652769585272,1.261662000000797,0.10369685570163728,2.6457943346840884,0.3994989999998779,16.843265999999858,session,93
SHANK3B,female,Deterministic,1,WT,ASD158,26,4.826269153846139,3.4357325000000287,0.836050503998073,4.263037834235257,0.8299960000003921,16.813767000000553,session,93
SHANK3B,female,Deterministic,1,WT,ASD207,840,2.1994988964286315,1.182161000000633,0.09190638205104178,2.663700015361735,0.31933200000275974,17.19476399999985,session,93
SHANK3B,female,Deterministic,1,WT,ASD220,767,4.201408561929657,2.873160999999527,0.1340935837096255,3.713690268497533,0.3624989999952959,17.12476500000048,session,93
SHANK3B,female,Deterministic,1,WT,ASD237,507,2.551942214990145,1.6919980000020587,0.11064916552783359,2.4914496946209845,0.5486669999991136,16.092650999999023,session,93
SHANK3B,female,Deterministic,1,WT,ASD238,900,1.8848461022222232,1.203000499999689,0.07256739492607653,2.1770218477822976,0.545998999998119,16.74200000000019,session,93
SHANK3B,female,Deterministic,1,WT,ASD263,916,3.048919794759782,1.686997999999221,0.10937603903116067,3.310319623443898,0.42133299999841256,17.13931700000012,session,93
SHANK3B,female,Deterministic,1,WT,ASD265,931,1.984596140708909,1.0830000000005384,0.08135033898284963,2.4821853465431327,0.36850000000004,17.105500000001484,session,93
SHANK3B,female,Deterministic,1,WT,ASD277,865,2.077513941040473,0.9513330000008864,0.09195745813476916,2.7045499814600893,0.38666600000033213,16.4046500000004,session,93
SHANK3B,female,Deterministic,1,WT,ASD307,1228,2.061801411237809,1.1979984999998123,0.06726835961977834,2.357273753489228,0.4513329999972484,16.93131700000049,session,93
SHANK3B,female,Deterministic,1,WT,ASD358,241,5.763276929460493,4.908813999999893,0.26807418406539296,4.161630464988522,0.47482599999784725,16.93009400000301,session,93
SHANK3B,female,Deterministic,2,Het,ASD015,988,2.2952464392712306,1.4139974999995957,0.07286135512633121,2.290212161786591,0.42649500000004537,18.118999000000258,session,93
SHANK3B,female,Deterministic,2,Het,ASD016,904,2.4918116681415996,1.679331499999762,0.08158347336698081,2.45293706940583,0.4906670000000304,15.329317999999944,session,93
SHANK3B,female,Deterministic,2,Het,ASD107,443,2.92941634085782,1.903665000001638,0.13526345239516108,2.846966330738583,0.604331000000002,17.02943200000027,session,93
SHANK3B,female,Deterministic,2,Het,ASD156,606,2.567982041254132,0.9739989999998215,0.14398390929970034,3.544461578174879,0.32333300000004783,18.077315,session,93
