strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
SHANK3B,female,Deterministic,1,Het,ASD015,97,4.901953907216486,3.015997000000425,0.4873765109936307,4.800101952711786,0.8419990000002144,23.3446440000007,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD016,275,4.67569275636362,2.3900000000003274,0.3015177155903781,5.000105651291884,0.4920000000001892,22.40849999999955,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD107,52,5.491453653846297,3.0889045000006945,0.6404416794978592,4.618290628747611,0.9016630000005534,20.674083999999993,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD156,495,3.1228305454545238,1.2220049999996263,0.20032403752902245,4.456928472154892,0.48050100000000384,25.705003999999917,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD159,537,3.2895026070762428,1.4313320000001113,0.1817205883359866,4.211058523093699,0.48466599999983373,25.49064099999987,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD221,914,3.082086840262575,1.4232445000016014,0.12680043890668058,3.833485762922713,0.5235029999985272,25.680559000000358,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD253,662,3.151944471299111,1.7613315000007788,0.14676446816999944,3.77615593369785,0.5673329999990528,25.853307999999743,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD254,399,3.326734807017452,2.2468299999964074,0.16050720612415031,3.2061289312649923,0.5656649999999672,23.805066000000807,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD287,1185,2.313049713080152,1.3753320000014355,0.075373884270522,2.5946576998866107,0.42533300000013696,22.951976999999715,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD352,272,5.032228073529517,3.0887500000008004,0.29308136922127465,4.833621768799856,0.5019999999999527,25.86200000000099,session_genotype,95
SHANK3B,female,Deterministic,1,Het,ASD390,1045,3.5719617291866017,1.9395000000004075,0.12268372733183888,3.9659305736326838,0.4114999999983411,23.85399999999936,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD106,663,2.5675119773755886,1.2716559999998935,0.14275044897602696,3.6756508162139605,0.3994989999998779,23.88007700000003,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD158,27,5.309237999999987,3.6976450000000796,0.9383299112326713,4.875705241549743,0.8299960000003921,17.86642800000004,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD207,855,2.5248808725146734,1.2114949999995588,0.1232855622769467,3.6049170635926107,0.31933200000275974,25.61689100000001,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD220,810,5.112319980246985,3.1361574999991717,0.1869314794725675,5.320163173664912,0.3624989999952959,26.969732000001386,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD237,519,2.9798878342967337,1.7213320000009844,0.16413716800312766,3.739302628636138,0.5486669999991136,26.851974000001064,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD238,907,2.0236234762954792,1.2064989999998943,0.08923180764573302,2.6873444428697,0.545998999998119,25.02550099999985,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD263,943,3.5725202757157546,1.7439990000000307,0.1465525891731486,4.500381616477929,0.42133299999841256,27.129972999999154,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD265,940,2.1584861776595656,1.08725000000004,0.09943675163400817,3.0486730754529954,0.36850000000004,25.04650000000038,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD277,875,2.286233164571443,0.9633320000002641,0.11269515218824874,3.3335675575711656,0.38666600000033213,24.936641000000236,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD307,1245,2.314649891566287,1.2046659999996336,0.09065804503406445,3.198829005448884,0.4513329999972484,26.767305999999735,session_genotype,95
SHANK3B,female,Deterministic,1,WT,ASD358,272,7.588177805146963,5.604804999999942,0.3932245002607475,6.485224596623125,0.47482599999784725,27.014726000000337,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD015,994,2.4149853993963557,1.4164995000001,0.08739482837636914,2.75536365853464,0.42649500000004537,24.993502000001172,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD016,907,2.5572499239250344,1.6853319999991072,0.08976892980187212,2.7035206504298284,0.4906670000000304,25.024641999998494,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD107,445,3.023837647191037,1.9188260000009905,0.1502842374140003,3.1702494612763337,0.604331000000002,24.69340099999681,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD156,616,2.882594532467533,0.9773324999994202,0.17292620773790832,4.291915605732522,0.32333300000004783,24.469975999999406,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD159,292,4.031969773972605,2.1571579999999813,0.2709997775041482,4.630846227951318,0.4019989999997051,24.34290200000396,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD221,731,4.122111781121715,2.183990999998059,0.1728761897620636,4.674055559922286,0.5135030000019469,25.198238000000856,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD253,643,3.6430077402798107,1.6174989999999525,0.18251094245735838,4.628011124340654,0.43800000000010186,25.033500999999887,session_genotype,95
SHANK3B,female,Deterministic,2,Het,ASD254,645,2.0248331147286756,0.993333000000348,0.130457838861274,3.3132181907668583,0.3719999999993888,23.435975999999755,session_genotype,95
