strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Shank3B,male,Deterministic,1,Het,ASD012,904,1.6239004424779122,1.1347500000001673,0.04588803782464292,1.3796969456796866,0.4205000000001746,9.439500000000407,session,93
Shank3B,male,Deterministic,1,Het,ASD013,933,1.10569288531619,0.7535010000010516,0.0363020868124342,1.1088490095466992,0.3664999999982683,9.50999899999988,session,93
Shank3B,male,Deterministic,1,Het,ASD105,432,2.430729037036929,1.9636644999973214,0.08180417338326425,1.7002678148518469,0.4786659999999756,9.791323000001285,session,93
Shank3B,male,Deterministic,1,Het,ASD128,760,1.1787940249999798,0.8380019999995056,0.040770659894023946,1.1239695272682326,0.35050000000046566,9.857500000000073,session,93
Shank3B,male,Deterministic,1,Het,ASD138,746,1.6837919021443755,1.077998499997193,0.05841181918410513,1.595402050523897,0.1633329999895068,9.6726570000028,session,93
Shank3B,male,Deterministic,1,Het,ASD141,815,2.767838584049105,1.9605000000010477,0.07710369750208634,2.2011721507692146,0.45949999999720603,9.854999999995925,session,93
Shank3B,male,Deterministic,1,Het,ASD235,993,1.7591483625377597,1.2903279999995902,0.04524613787802969,1.4257918859102567,0.42817099999956554,9.16063000000031,session,93
Shank3B,male,Deterministic,1,Het,ASD236,756,1.1771375992063473,0.7174969999996392,0.047064590987351836,1.2940623045100559,0.3196649999999863,9.493794999999409,session,93
Shank3B,male,Deterministic,1,Het,ASD247,962,1.256787941787956,0.6914999999999623,0.04321148290265562,1.3402527481672761,0.3220000000001164,9.23700000000099,session,93
Shank3B,male,Deterministic,1,Het,ASD260,826,2.0017429636803836,1.3463315000003604,0.05830885052194076,1.6758089427589782,0.39266700000007404,9.321324000000459,session,93
Shank3B,male,Deterministic,1,Het,ASD262,906,2.0191203090507757,1.0732499999999163,0.06916382727596354,2.0818197119669466,0.46550000000002,9.823999999998705,session,93
Shank3B,male,Deterministic,1,Het,ASD306,1291,1.295239722695609,0.606991000000562,0.05216824820150355,1.8744306392753127,0.29750000000012733,9.588498999999956,session,93
Shank3B,male,Deterministic,1,Het,ASD313,1248,1.8686236794871764,1.106666000000132,0.05169439826753065,1.8262102545101726,0.4286659999997937,9.849322999998549,session,93
Shank3B,male,Deterministic,1,Het,ASD314,953,1.9106318572927334,1.2319989999996324,0.0560621324548996,1.730677164784741,0.39466600000014296,9.657322999999451,session,93
