strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Shank3B,male,Probabilistic,1,HET,ASD049,839,1.4494979499404101,0.7573330000000169,0.06437678424493005,1.8647055326280435,0.3366669999995793,13.09865400000001,session,93
Shank3B,male,Probabilistic,1,HET,ASD086,860,1.421670826744195,0.6678300000003219,0.06530743760676079,1.9151900192446742,0.37465900000006513,13.41694600000028,session,93
Shank3B,male,Probabilistic,1,HET,ASD131,850,2.0898120164705785,1.2736655000003339,0.07243729938642521,2.1118920405737605,0.5173330000002352,13.075987000000168,session,93
Shank3B,male,Probabilistic,1,HET,ASD132,698,3.4916815902579903,2.3124899999988884,0.11307097422301568,2.987300044822388,0.5746700000017881,13.492946000000302,session,93
Shank3B,male,Probabilistic,1,HET,ASD133,882,2.6029708786849373,1.6712430000006862,0.07743208588224408,2.299615626367666,0.502664999999979,13.49327900000003,session,93
Shank3B,male,Probabilistic,1,HET,ASD155,849,1.6262249705535967,0.9760000000005675,0.0606895257989001,1.7683474041882605,0.3724999999976717,13.46600000000035,session,93
Shank3B,male,Probabilistic,1,HET,ASD338,785,2.6921598025479097,1.7113249999965774,0.08835631284417748,2.4755540481361464,0.45049299999982395,13.465618999998696,session,93
Shank3B,male,Probabilistic,1,HET,ASD346,154,4.79362290909093,4.067995999999766,0.2119377017270102,2.6300777117135485,1.1859990000011749,13.10865399999966,session,93
Shank3B,male,Probabilistic,1,HET,ASD347,476,3.3967971911764354,2.475000000000364,0.11958388968959437,2.6090124523442784,0.540000000000191,13.184000000001106,session,93
Shank3B,male,Probabilistic,1,HET,ASD368,1426,2.0370501072931306,1.2107499999992797,0.05722127877523697,2.1608136860692646,0.48150100000020757,13.441000999999233,session,93
Shank3B,male,Probabilistic,1,HET,ASD369,1054,2.5933382305503074,1.2394999999996799,0.09031853321175594,2.9322242518888793,0.36950200000046607,13.47899999999936,session,93
Shank3B,male,Probabilistic,1,WT,ASD048,754,1.2591156007957585,0.7889104999994743,0.05248023247340652,1.4410578751559362,0.31516499999997905,12.539455000000089,session,93
Shank3B,male,Probabilistic,1,WT,ASD152,640,2.438605840624942,1.4303314999997383,0.09306159452847722,2.3542928111764105,0.32800100000031307,13.069321000002674,session,93
Shank3B,male,Probabilistic,1,WT,ASD153,699,2.5522339213160987,1.2374999999992724,0.10738851665304774,2.8392029097530878,0.4209999999984575,13.432499999998981,session,93
Shank3B,male,Probabilistic,1,WT,ASD154,896,2.0075806796875177,1.2139954999998963,0.07134730551158525,2.1356573815507196,0.36000000000001364,13.176996999998664,session,93
Shank3B,male,Probabilistic,1,WT,ASD285,813,1.447817237392325,0.9660000000003492,0.0535316788234734,1.5263570481434483,0.39749999999958163,12.717999000000418,session,93
Shank3B,male,Probabilistic,1,WT,ASD298,442,2.599300490950058,1.7959065000004557,0.10559605076716955,2.2200298341304374,0.4498310000001311,13.260115000000042,session,93
Shank3B,male,Probabilistic,1,WT,ASD300,1032,1.5312135687984134,0.9859989999995378,0.04885391434012928,1.5694201173159363,0.24733299999934388,11.947321999999986,session,93
Shank3B,male,Probabilistic,1,WT,ASD337,164,4.965582707317226,3.762979000001792,0.2653947330118975,3.398710894871001,0.7411640000000261,13.31061299999783,session,93
Shank3B,male,Probabilistic,1,WT,ASD348,960,2.9135922343750966,1.9526644999968994,0.07978613187588857,2.4720828801090002,0.3539989999999875,13.495986000000016,session,93
Shank3B,male,Probabilistic,1,WT,ASD356,1023,2.651282503421282,1.5215000000007421,0.08357447757341774,2.673077112170188,0.31899999999950523,13.311499999999796,session,93
Shank3B,male,Probabilistic,1,WT,ASD367,1591,1.120882460088013,0.5025000000005093,0.04573952188503414,1.8244279226305364,0.2919999999994616,12.279999999998836,session,93
Shank3B,male,Probabilistic,2,HET,ASD049,969,1.7165406831785432,0.8501629999991565,0.06982566757108631,2.1735867850959325,0.3138330000001588,13.96844400000009,session,93
Shank3B,male,Probabilistic,2,HET,ASD086,1145,2.031448362445405,0.7584989999995742,0.07723803449160865,2.613568919712152,0.3740010000001348,13.509498999999778,session,93
Shank3B,male,Probabilistic,2,HET,ASD131,548,2.4577867281021097,1.346914499999457,0.10719367010287842,2.50933948176574,0.44366500000000997,13.909449999999197,session,93
Shank3B,male,Probabilistic,2,HET,ASD132,876,2.251619747716827,1.3604940000011538,0.07901719392954468,2.3386953705802243,0.47283100000004197,14.151604999999108,session,93
Shank3B,male,Probabilistic,2,HET,ASD133,550,2.711616661818265,1.679330999999479,0.10310333116609635,2.417987446958763,0.4433329999999387,13.292652999999973,session,93
Shank3B,male,Probabilistic,2,HET,ASD155,774,1.771433412144737,0.8654965000005177,0.08318647130469516,2.3143187965987297,0.3570039999999608,14.167497000000367,session,93
Shank3B,male,Probabilistic,2,HET,ASD338,313,3.2324620575079743,1.7434869999997318,0.18747961421902204,3.3168529661464152,0.37133200000016586,14.153275999999096,session,93
Shank3B,male,Probabilistic,2,HET,ASD346,371,4.968696765498698,4.279999999999973,0.15382494530672444,2.9628776922591347,0.9694999999999254,14.190000000002328,session,93
Shank3B,male,Probabilistic,2,HET,ASD347,756,2.365373301587282,1.6029990000006364,0.07703179423920262,2.1180241681164547,0.4146669999972801,14.003319999996165,session,93
Shank3B,male,Probabilistic,2,HET,ASD368,1253,2.5778463703112093,0.9819999999999709,0.08275322101081857,2.9292770048844354,0.4250000000010914,14.049000000000888,session,93
Shank3B,male,Probabilistic,2,HET,ASD369,721,2.620607499306511,0.9280000000017026,0.12020423349879375,3.2276571438884987,0.3389999999999418,14.108000000000175,session,93
Shank3B,male,Probabilistic,2,WT,ASD048,812,1.101797795566519,0.49233300000003055,0.06205199044500038,1.7682095488847938,0.2806660000001102,13.775986999999986,session,93
Shank3B,male,Probabilistic,2,WT,ASD152,610,2.576517209836079,1.396749999998974,0.10716628083792125,2.6468118872835764,0.43099999999992633,13.655000000002474,session,93
Shank3B,male,Probabilistic,2,WT,ASD153,647,2.2229219474497524,0.8194999999977881,0.11665933837947234,2.9673696427215037,0.40099999999983993,14.055500000002212,session,93
Shank3B,male,Probabilistic,2,WT,ASD154,833,3.3729154009603333,1.8946649999998044,0.11028010842618292,3.1828757481200407,0.007333999999900698,14.095319000000018,session,93
Shank3B,male,Probabilistic,2,WT,ASD285,817,1.2877514614442986,0.5746659999999792,0.06725839251354215,1.9224608823027223,0.30599999999981264,13.878652999999758,session,93
Shank3B,male,Probabilistic,2,WT,ASD298,255,2.3096946274510084,1.3633279999994556,0.14537547412571325,2.3214601572513276,0.45382599999993545,13.37694499999634,session,93
Shank3B,male,Probabilistic,2,WT,ASD300,657,1.6143124277017098,0.926168999998481,0.07785809370421518,1.9956595326362925,0.3391719999999623,13.229613999999856,session,93
Shank3B,male,Probabilistic,2,WT,ASD337,308,4.753806474026023,3.8126515000003565,0.18425772300388277,3.2337099149220663,0.6188310000015917,14.113283000000138,session,93
