strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Shank3B,male,Probabilistic,1,HET,ASD049,848,1.6235321768867979,0.7616659999999342,0.08634570154303717,2.5144247828013184,0.3366669999995793,20.878646000000003,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD086,872,1.6259873486238652,0.6723359999998593,0.08741214295519616,2.581249648098598,0.37465900000006513,20.832911000000422,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD131,862,2.2804516902552114,1.2869984999997541,0.09039793173769797,2.6540684968242463,0.5173330000002352,19.94398000000001,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD132,732,4.093327426229617,2.4578234999989945,0.1486252399541844,4.021129959159895,0.5746700000017881,20.769750999999815,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD133,908,3.0253684438327326,1.748578999999154,0.11174024768680572,3.3670731684094246,0.502664999999979,20.846082999999908,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD155,853,1.6930228604923865,0.9770000000007713,0.06910042553066785,2.018158342070072,0.3724999999976717,18.039499999998952,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD338,813,3.1831976937270627,1.7518209999980172,0.12573130986383932,3.584996308743206,0.45049299999982395,20.89025000000038,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD346,163,5.41594550920249,4.1566620000012335,0.2858903417839974,3.650003543372999,1.1859990000011749,18.94331500000044,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD347,491,3.8124836252545533,2.548000000002503,0.1579453245966255,3.499834603364753,0.540000000000191,20.872999999999593,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD368,1447,2.2523351354526655,1.2259999999987485,0.07351885171578874,2.7966169193972523,0.48150100000020757,21.163999999999987,session_genotype,95
Shank3B,male,Probabilistic,1,HET,ASD369,1089,3.0472998126721995,1.2924999999995634,0.11621300845666595,3.8350292790699756,0.36950200000046607,21.116500000000087,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD048,760,1.3806387381578977,0.7909105000003365,0.07199293030867725,1.9847081223612808,0.31516499999997905,18.802425000000085,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD152,656,2.7625236067072616,1.4633320000000367,0.12150835229529393,3.112132302530104,0.32800100000031307,19.17597999999998,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD153,718,2.911690824512462,1.2807499999998981,0.13279202128603654,3.5582315296467137,0.4209999999984575,18.485499999998865,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD154,915,2.2939336054644976,1.2469999999993888,0.09576521499453423,2.896798820888097,0.36000000000001364,18.405499999999847,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD285,818,1.5289179828850359,0.9694970000000467,0.06434889536319835,1.840423406064873,0.39749999999958163,15.279999000000316,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD298,453,2.9339501810152826,1.8509869999979855,0.14386212969028028,3.0619323145094905,0.4498310000001311,19.093597000000045,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD300,1038,1.6127446791907176,0.9899989999997842,0.05896250592088466,1.8996544513253533,0.24733299999934388,17.88064900000245,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD337,178,5.829764994382223,4.136480999999549,0.332175240719929,4.431770472105592,0.7411640000000261,19.225588999997854,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD348,992,3.3346425070565564,2.0189979999977368,0.1068257243778457,3.364586379592691,0.3539989999999875,18.397981999999956,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD356,1052,3.0174439173003496,1.5857500000001892,0.1057285399335355,3.429257559970384,0.31899999999950523,18.945999999999913,session_genotype,95
Shank3B,male,Probabilistic,1,WT,ASD367,1614,1.325319698265198,0.5042499999990468,0.06204302116793811,2.492554727923016,0.2919999999994616,19.125,session_genotype,95
Shank3B,male,Probabilistic,2,HET,ASD049,979,1.875762427987751,0.8528360000000248,0.08558140637479303,2.677754543946965,0.3138330000001588,20.76275600000008,session_genotype,95
Shank3B,male,Probabilistic,2,HET,ASD086,1167,2.307610855184221,0.7734999999993306,0.09582424083045613,3.2734884676084812,0.3740010000001348,19.381998999999723,session_genotype,95
Shank3B,male,Probabilistic,2,HET,ASD131,559,2.7426151860464305,1.375994999998511,0.1356629814488527,3.2075044030204833,0.44366500000000997,20.46942399999898,session_genotype,95
