session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,13.520145659999423,20.16582190000024,75.3292500000013,session,,,,
2,14.223341120000521,20.448477199999957,71.65782959999945,session,,,,
1,,,,animal_session,ASD048,3.31254275999996,4.109579200000003,9.927355039999833
2,,,,animal_session,ASD048,4.533882020000154,6.019527350000106,9.509150139999864
1,,,,animal_session,ASD049,6.504406999999987,8.96682389999994,23.54498955999948
2,,,,animal_session,ASD049,7.707064880000219,9.837637050000527,29.577061279999985
1,,,,animal_session,ASD086,7.515141349999892,10.683557650000898,43.79983812000011
2,,,,animal_session,ASD086,9.314899440000222,12.26540039999963,21.678300840000162
1,,,,animal_session,ASD131,8.862777970000066,11.281588900000669,27.770358899999515
2,,,,animal_session,ASD131,21.508455919998234,41.35411750000014,254.26714944000253
1,,,,animal_session,ASD132,29.575117599999036,47.01193675000104,277.8767096999996
2,,,,animal_session,ASD132,11.064093519999828,15.828535400001902,62.644714520001436
1,,,,animal_session,ASD133,19.31569776000289,32.22164844999933,209.9368681600011
2,,,,animal_session,ASD133,25.894374619999947,37.272295599999694,282.9989972000024
1,,,,animal_session,ASD152,14.983318680002753,21.956778199999043,55.56226512000089
2,,,,animal_session,ASD152,16.75981000000011,21.692949999999875,62.60384999999981
1,,,,animal_session,ASD153,25.848695000000937,35.5744499999988,83.52910999999938
2,,,,animal_session,ASD153,14.596299999999962,20.777299999999336,73.40394000000042
1,,,,animal_session,ASD154,11.425595279999289,15.099989800000168,55.311156119998955
2,,,,animal_session,ASD154,19.94957999999606,24.205309999997553,63.09833680000016
1,,,,animal_session,ASD155,5.9080000000003565,7.888124999999036,32.376000000000204
2,,,,animal_session,ASD155,12.28135017999972,16.2449403999999,42.37373807999965
1,,,,animal_session,ASD285,5.13376965999964,6.589000200002546,24.510938799999686
2,,,,animal_session,ASD285,6.146827149999903,7.522826250000321,15.528917899999993
1,,,,animal_session,ASD298,54.9433768,87.42665099999977,391.4565064000018
2,,,,animal_session,ASD298,65.57072852000204,176.81672620000515,443.8130441200015
1,,,,animal_session,ASD300,4.967041570000642,5.895693849998304,11.779375319999824
2,,,,animal_session,ASD300,8.031985299999182,10.617829750001192,36.82540909999891
1,,,,animal_session,ASD337,77.49602525000046,233.59118999999964,419.12515749999966
2,,,,animal_session,ASD337,44.69058780000009,68.12672699999894,201.0037660000009
1,,,,animal_session,ASD338,28.20421360000212,47.6203095999999,262.5529965200007
2,,,,animal_session,ASD338,35.94863165999931,65.24256149999998,656.6496334399977
1,,,,animal_session,ASD346,22.966617000000372,31.640501800000578,93.75230628000031
2,,,,animal_session,ASD346,45.91350000000239,76.95750000000044,422.27
1,,,,animal_session,ASD347,19.319980000000406,30.36130080000002,270.56932000000154
2,,,,animal_session,ASD347,9.341723899999106,14.107652999997072,74.56432529999992
1,,,,animal_session,ASD348,18.035655420000136,26.808772999999974,56.76091687999881
2,,,,animal_session,ASD348,14.721609999999203,19.565949999999063,54.460789999999406
1,,,,animal_session,ASD356,18.48211500000016,30.003150000000442,105.61824000000013
2,,,,animal_session,ASD356,15.766934999999812,20.96247499999944,49.84233000000052
1,,,,animal_session,ASD367,6.393139919999966,8.822300000001263,18.238839999999303
2,,,,animal_session,ASD367,8.911411559999651,12.439350500000097,38.66163968000002
1,,,,animal_session,ASD368,9.868770860001055,12.986903850000978,41.87606999999938
2,,,,animal_session,ASD368,11.5909599999986,14.940999999999978,34.75521999999973
1,,,,animal_session,ASD369,19.896339999998307,31.1973000000013,125.36196000000135
2,,,,animal_session,ASD369,27.14597499999875,38.84300000000076,153.08990000000136
