strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Tsc2,male,Deterministic,1,Het,147,928,2.2896551724137777,0.9650000000001455,0.10760509743191363,3.277984028303334,0.3489999999997053,20.28200000000288,animal_session,95
Tsc2,male,Deterministic,1,Het,148,727,1.381114609353484,0.7719989999986865,0.05991245020956666,1.615415651995713,0.35599999999999454,11.67198899999994,animal_session,95
Tsc2,male,Deterministic,1,Het,23,1172,1.1341594197952893,0.6929140000011103,0.03209701350316312,1.0988247445628718,0.29866600000059407,6.624640000001818,animal_session,95
Tsc2,male,Deterministic,1,Het,28,1052,0.8615487775665465,0.6242425000004914,0.017575049672723518,0.5700388182313828,0.04232799999954295,3.5198190000000977,animal_session,95
Tsc2,male,Deterministic,1,Het,29,352,4.581958471591078,1.8202400000000125,0.3568534105730547,6.69516344359439,0.42582599999968807,38.05085400000007,animal_session,95
Tsc2,male,Deterministic,1,Het,30,1148,0.8556172186411171,0.6730004999999437,0.01562627086692243,0.5294516330175782,0.323500000000422,3.5589990000007674,animal_session,95
Tsc2,male,Deterministic,1,Het,353,915,1.9145731355191438,1.024000000000342,0.07468968378384942,2.259285774379648,0.32000000000005,14.03650000000016,animal_session,95
Tsc2,male,Deterministic,1,Het,360,1006,1.5354166282305852,0.6789995000004865,0.06268776194818602,1.9882992810592854,0.2966660000001866,11.74932200000012,animal_session,95
Tsc2,male,Deterministic,1,Het,361,864,1.5259848020833482,0.9486600000009275,0.04658147503350927,1.3692101435794997,0.29882599999999115,7.365304000000833,animal_session,95
Tsc2,male,Deterministic,1,Het,362,1130,0.9021642707964389,0.5603325000006407,0.02693916835396118,0.9055728764221357,0.32600000000002183,5.977994000000081,animal_session,95
Tsc2,male,Deterministic,1,Het,364,919,2.8103160337322604,1.5034999999998035,0.10583443634970456,3.208372290764498,0.36400000000003274,17.988499999999476,animal_session,95
Tsc2,male,Deterministic,1,Het,6,889,1.6582930258717603,1.0619999999998981,0.05917561981597312,1.76438637740079,0.3680000000003929,12.579499999999825,animal_session,95
Tsc2,male,Deterministic,1,Het,7,412,2.690746334951443,1.1754974999998922,0.20301461484217387,4.120746624324369,0.3889960000001338,27.826498000000356,animal_session,95
Tsc2,male,Deterministic,1,Het,73,1073,1.9895200475303392,0.8889999999992142,0.08658262427222435,2.836159205008301,0.3719989999999598,18.840000000000146,animal_session,95
Tsc2,male,Deterministic,1,Het,75,1042,1.3675351324376075,0.9520019999999931,0.04112152041287569,1.3274036980479402,0.34750000000008185,9.5,animal_session,95
Tsc2,male,Deterministic,1,WT,115,920,1.555557847826102,1.0216655000001538,0.046950289441251646,1.424072787580719,0.34266600000000835,8.84665700000187,animal_session,95
Tsc2,male,Deterministic,1,WT,123,935,2.0779048213903617,1.2654999999999745,0.06880008857912089,2.103753264107442,0.36400000000003274,11.980999999999767,animal_session,95
Tsc2,male,Deterministic,1,WT,125,863,1.1814660764773917,0.92916299999888,0.027029639633836366,0.7940459837870573,0.37249900000006164,4.939140000000407,animal_session,95
Tsc2,male,Deterministic,1,WT,146,822,3.0433862591240692,1.1304999999997563,0.15074238069709053,4.321865813282756,0.37149999999928696,26.404999999998836,animal_session,95
Tsc2,male,Deterministic,1,WT,172,879,1.7121469419795312,1.0693320000000313,0.059200720068871594,1.7551790508707292,0.4226669999989099,10.302655999999843,animal_session,95
Tsc2,male,Deterministic,1,WT,173,1160,0.9466086224138442,0.7174999999988358,0.018344601486723136,0.6247946128927119,0.35199999999895226,3.8284999999996217,animal_session,95
Tsc2,male,Deterministic,1,WT,19,904,1.663956317477935,1.1333324999986871,0.05045614002582571,1.517044214233846,0.4386670000021695,12.14998800000103,animal_session,95
Tsc2,male,Deterministic,1,WT,20,742,2.9097688557952046,1.6549999999997453,0.1286135484299676,3.5033915098219786,0.5190000000002328,26.893499999999676,animal_session,95
Tsc2,male,Deterministic,1,WT,22,927,1.1594192955770743,0.8784959999975399,0.026475568263490363,0.8060930142910823,0.4514979999985371,5.362478999999439,animal_session,95
Tsc2,male,Deterministic,1,WT,354,1203,1.7291847298420933,0.6946660000012344,0.06980321785093765,2.421075078241398,0.2953330000000278,11.750654999999824,animal_session,95
Tsc2,male,Deterministic,1,WT,365,898,1.6272708374164817,0.975999000000229,0.05965400399668298,1.7876305471676672,0.4579990000001999,11.058655999997427,animal_session,95
Tsc2,male,Deterministic,1,WT,366,836,1.285381106459379,0.9085004999997182,0.03708541032728023,1.0722751153707395,0.33000099999998156,6.580502000000024,animal_session,95
Tsc2,male,Deterministic,1,WT,74,1050,2.2146193590476786,1.1423324999998385,0.08286606121925746,2.6851672773019954,0.3546669999996084,16.8019830000012,animal_session,95
Tsc2,male,Deterministic,2,Het,147,658,3.1525034088145527,0.8419990000002144,0.22035354924033188,5.6524014210006275,0.032666999999491964,38.79996099999971,animal_session,95
Tsc2,male,Deterministic,2,Het,148,631,2.7532812947701832,0.7304999999978463,0.20255057006063698,5.088012263696107,0.3429999999998472,34.800999999999476,animal_session,95
Tsc2,male,Deterministic,2,Het,23,932,1.027082110515,0.6841640000001235,0.029223529700169535,0.8921556418828476,0.3583310000003621,5.80697599999985,animal_session,95
Tsc2,male,Deterministic,2,Het,28,939,0.9673038935037146,0.7786580000001777,0.019881743073311652,0.6092383781965416,0.3186650000006921,3.643152999999984,animal_session,95
Tsc2,male,Deterministic,2,Het,29,847,0.5547017378984601,0.4161709999998493,0.014030282327261025,0.4083270164815296,0.2976650000000518,3.5904869999994844,animal_session,95
Tsc2,male,Deterministic,2,Het,30,875,0.6987737771428811,0.4849999999987631,0.020291786090713197,0.6002391272712517,0.3495050000001356,4.303499000000102,animal_session,95
Tsc2,male,Deterministic,2,Het,353,1125,2.030976348444467,1.0233329999991838,0.07219215975462855,2.4213986498081104,0.35933299999987867,12.44532099999924,animal_session,95
Tsc2,male,Deterministic,2,Het,360,673,4.089354325408629,0.852999999999156,0.30622038705673915,7.944043858596043,0.2820000000001528,54.68250099999932,animal_session,95
Tsc2,male,Deterministic,2,Het,361,771,0.7189357470817241,0.4986659999999574,0.025973247519659428,0.7211962225075707,0.2653330000000551,5.359994999999799,animal_session,95
Tsc2,male,Deterministic,2,Het,362,969,0.7565095242517774,0.4829989999998361,0.026537079662438616,0.826066512154611,0.31533200000012584,5.326146000000335,animal_session,95
Tsc2,male,Deterministic,2,Het,364,942,3.134093832271773,1.2293319999998857,0.13104606875083805,4.022068367297665,0.3053330000002461,21.931311999998798,animal_session,95
Tsc2,male,Deterministic,2,Het,6,1195,0.8735527188284639,0.625,0.020169483367392205,0.6972342725888304,0.29899999999997817,5.7960000000002765,animal_session,95
Tsc2,male,Deterministic,2,Het,7,1227,0.9770358231458747,0.7130000000001928,0.021024069960988424,0.7364428913690495,0.29399999999986903,4.878998000000138,animal_session,95
Tsc2,male,Deterministic,2,Het,73,758,3.02741120052766,0.7643320000011045,0.20439889601120242,5.627469483477774,0.30999999999994543,35.27463200000011,animal_session,95
Tsc2,male,Deterministic,2,Het,75,745,0.9752476348993164,0.4850000000005821,0.05203265492283386,1.4202150885860347,0.2610020000001896,9.442993999999999,animal_session,95
Tsc2,male,Deterministic,2,WT,115,790,1.7221133215190076,0.6807519999997567,0.08962829316697672,2.519176936910182,0.28950500000064494,14.126499999998487,animal_session,95
Tsc2,male,Deterministic,2,WT,123,1088,2.0212310183823465,1.0854155000010905,0.0670743333479448,2.2124364892917234,0.4091590000002725,13.154113999999026,animal_session,95
Tsc2,male,Deterministic,2,WT,125,978,1.292898275051097,0.7907500000001164,0.03840907116145352,1.201166557576807,0.35649999999986903,6.88300000000163,animal_session,95
Tsc2,male,Deterministic,2,WT,146,705,4.254158865248195,1.0174999999999272,0.2868425105133102,7.616195324142681,0.3024999999997817,49.6869999999999,animal_session,95
Tsc2,male,Deterministic,2,WT,172,685,1.0613561883211537,0.6849999999999454,0.040113999566006864,1.0498838404363573,0.33849999999983993,6.3604999999997744,animal_session,95
Tsc2,male,Deterministic,2,WT,173,715,1.6372117720279977,0.7844959999999901,0.0825273866173805,2.2067397269398663,0.38850300000012794,12.742512000000033,animal_session,95
Tsc2,male,Deterministic,2,WT,19,145,2.7352432827584834,1.3753319999996165,0.5255038893795313,6.327904785486829,0.603332999999111,54.73194499999954,animal_session,95
Tsc2,male,Deterministic,2,WT,20,666,3.6228145765766318,1.6520000000000437,0.19559992470311036,5.047842523515606,0.3930000000036671,31.855999999999767,animal_session,95
Tsc2,male,Deterministic,2,WT,22,1160,1.9113074431034405,0.7559140000003026,0.06804368910711249,2.317484543135991,0.3086649999999054,11.36678799999936,animal_session,95
Tsc2,male,Deterministic,2,WT,354,956,3.3136135502092174,0.6459999999988213,0.1759187386710435,5.439275402158265,0.2565039999999499,32.67650400000002,animal_session,95
Tsc2,male,Deterministic,2,WT,365,887,2.61857502254797,1.1905000000006112,0.10985681220578612,3.271815477647139,0.35599999999999454,19.763500000000022,animal_session,95
Tsc2,male,Deterministic,2,WT,366,1036,2.008187173745183,0.8636660000003644,0.07668375318072775,2.4682164268861335,0.38133300000026793,14.380651999999827,animal_session,95
Tsc2,male,Deterministic,2,WT,74,743,2.351450960969021,1.0900050000000192,0.12100529565875315,3.2983655364520272,0.374005000000011,19.87749900000017,animal_session,95
