strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
TSC2,male,Probabilistic,1,HET,ASD042,1082,2.0866705323474948,0.8757500000001528,0.07843218953006185,2.579930278039869,0.30900000000110595,12.486500000000888,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD043,1056,2.148118448863657,1.1693319999990308,0.07156538940760064,2.325599887960301,0.38400000000001455,12.412653999999748,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD058,968,1.8394034369834216,1.2427494999999453,0.05711478434723082,1.776995057989103,0.4154979999984789,12.2245010000006,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD060,1011,1.4129344164193804,0.759169999999358,0.05589329394980509,1.7771958169975175,0.33265899999969406,12.229285000001255,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD062,942,1.4806926666666753,0.779499499999929,0.06021955875932322,1.8482598118911373,0.34799999999995634,12.085000000000946,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD099,797,1.5159937126725251,0.9160000000010768,0.062346358074870406,1.7601117825480195,0.3760000000002037,12.034998999999516,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD109,1024,2.2557592753906173,1.0034999999998035,0.07890923370745831,2.525095478638667,0.2989999999990687,12.501500000000306,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD124,943,1.378925764581109,0.9108299999988958,0.04387621036985785,1.3473640531586397,0.3883370000003197,12.351616999999806,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD174,925,1.8589441329729897,0.9134959999992134,0.07409003797639979,2.253360534356084,0.35399599999982456,12.163001999999324,session_genotype,95
TSC2,male,Probabilistic,1,HET,ASD195,952,1.9717085115546147,1.060499999998683,0.07110990980845913,2.194060515998766,0.3449999999975262,12.390999999999622,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD044,771,1.0289040194552812,0.6595000000006621,0.04018428319567912,1.1157924407782414,0.30650000000059663,9.695999999999913,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD059,767,1.6256202698826878,0.8446659999990516,0.06967291723740451,1.929575059181673,0.36400000000003274,11.22665600000255,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD061,972,1.2822494526749249,0.6763365000001613,0.053011864666395174,1.6527463741109123,0.2881649999999354,11.242122000000109,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD100,972,1.2442339753086211,0.7935020000004442,0.045423541166820534,1.416165860891335,0.3845050000008996,10.751498000000083,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD108,706,1.9437166515580782,1.4006649999996625,0.06122848789891877,1.6268813655746261,0.438666000000012,10.896655999997165,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD110,707,1.8955205091937624,0.8834999999999127,0.08798149038458748,2.3393813399609167,0.31850000000031287,11.355499999999665,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD111,1079,1.2689539240037,0.7139979999999468,0.046764735779288386,1.5361343733523696,0.2906669999993028,10.826654999998937,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD149,951,1.6238385352260838,0.9619990000010148,0.056672587956006444,1.7476855828710591,0.35533299999997325,11.043322000001353,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD150,823,1.9074805552855543,1.2715000000007421,0.06011250981330589,1.7245062734223664,0.3544999999999163,11.245999999999185,session_genotype,95
TSC2,male,Probabilistic,1,WT,ASD151,1032,1.7094496133721186,1.0695000000000618,0.05388893196140077,1.7311688339253841,0.41700000000128057,11.054000000000087,session_genotype,95
TSC2,male,Probabilistic,2,HET,ASD042,974,2.9548470472279034,1.5142469999987043,0.09862608590297627,3.078018858812793,0.35632600000099046,13.318781000001763,session_genotype,95
TSC2,male,Probabilistic,2,HET,ASD043,712,1.192048560393265,0.5697530000002189,0.061587656186951084,1.6433636386864263,0.2713260000000446,12.851121000000603,session_genotype,95
