session,session_threshold_p93,session_threshold_p95,session_threshold_p98,cut_scope,A_ID,animal_session_threshold_p93,animal_session_threshold_p95,animal_session_threshold_p98
1,8.567285259999965,12.005322300000287,31.991082439999087,session,,,,
2,10.77755081999891,14.623512049999116,47.82421000000008,session,,,,
1,,,,animal_session,ASD042,12.460720000000256,16.27497500000019,40.90054000000045
2,,,,animal_session,ASD042,21.503861559999507,26.908658599998983,62.80292871999954
1,,,,animal_session,ASD043,9.983623350000562,13.151986499999111,23.819975899998745
2,,,,animal_session,ASD043,4.450786000000335,5.59647700000005,9.033631000000245
1,,,,animal_session,ASD044,2.5097000000000667,3.311000000000604,6.9710000000004095
2,,,,animal_session,ASD044,3.656364230000263,4.6486249999998,8.47475000000019
1,,,,animal_session,ASD058,12.630554740000207,23.804998149999427,69.32619981999756
2,,,,animal_session,ASD058,7.730659000000023,11.39032174999943,37.774295500000456
1,,,,animal_session,ASD059,12.761453999998958,16.1848508999993,48.86368480000041
2,,,,animal_session,ASD059,16.123468960000064,23.763166400000035,79.16927695999973
1,,,,animal_session,ASD060,5.4627221200003175,6.761109000000578,15.348545799999275
2,,,,animal_session,ASD060,13.964821230000318,20.226508900000372,80.68732956000048
1,,,,animal_session,ASD061,5.343021140000146,6.168536449999826,11.303350620000229
2,,,,animal_session,ASD061,19.761647829999696,30.170049149999706,93.89124237999938
1,,,,animal_session,ASD062,8.414427149999973,12.518350000000558,47.55337863999938
2,,,,animal_session,ASD062,11.855065000000224,14.891524999999948,67.1124283799999
1,,,,animal_session,ASD099,5.905826409999881,8.56045000000157,23.892650000000145
2,,,,animal_session,ASD099,11.271395960000048,19.343499800000075,96.00884024000031
1,,,,animal_session,ASD100,3.618144999999531,5.393349999999914,15.466259720000034
2,,,,animal_session,ASD100,5.489179239999795,7.040799400000535,35.60348031999962
1,,,,animal_session,ASD108,9.08823126000037,16.52318299999972,81.27941179999917
2,,,,animal_session,ASD108,6.913125000001123,9.02544999999972,16.743850000000094
1,,,,animal_session,ASD109,11.233980000000257,14.189799600000695,37.65336000000007
2,,,,animal_session,ASD109,10.788990000000398,13.099800000001032,37.56681999999979
1,,,,animal_session,ASD110,16.68276499999985,21.13127500000082,45.989959999999755
2,,,,animal_session,ASD110,13.02185330000039,22.454977499999586,83.67698300000079
1,,,,animal_session,ASD111,5.815220819999559,7.702590900000254,22.465418040000177
2,,,,animal_session,ASD111,8.791657999999948,12.921987499999886,27.45103839999974
1,,,,animal_session,ASD124,3.9584304599995646,5.016138950000131,16.12162348000012
2,,,,animal_session,ASD124,4.710371320001083,5.76814800000029,10.168705799999657
1,,,,animal_session,ASD149,8.135812070000663,11.750855000001225,22.226991079999717
2,,,,animal_session,ASD149,13.702675000000054,17.499074999999443,49.26318999999959
1,,,,animal_session,ASD150,11.26531999999963,14.10629999999926,25.91465999999927
2,,,,animal_session,ASD150,12.985775000000107,16.030749999999898,94.84570000000058
1,,,,animal_session,ASD151,8.003075000000406,11.002874999999221,34.916649999999805
2,,,,animal_session,ASD151,15.225771000000213,23.152343700000063,48.21135226000008
1,,,,animal_session,ASD174,11.510612380001055,16.93114500000056,41.56797199999881
2,,,,animal_session,ASD174,11.129735619999343,14.530185700000947,60.89105888000109
1,,,,animal_session,ASD195,9.057209999999854,11.796049100000971,63.529979959998585
2,,,,animal_session,ASD195,6.778859460000536,8.535691000000002,19.233154239999692
